Year,ABW,AFG,AGO,ALB,AND,ARB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CEB,CHE,CHI,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CSS,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,EAP,EAR,EAS,ECA,ECS,ECU,EGY,EMU,ERI,ESP,EST,ETH,EUU,FCS,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HIC,HKG,HND,HPC,HRV,HTI,HUN,IBD,IBT,IDA,IDB,IDN,IDX,IMN,IND,INX,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAC,LAO,LBN,LBR,LBY,LCA,LCN,LDC,LIC,LIE,LKA,LMC,LMY,LSO,LTE,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEA,MEX,MHL,MIC,MKD,MLI,MLT,MMR,MNA,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAC,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OED,OMN,OSS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRE,PRI,PRK,PRT,PRY,PSE,PSS,PST,PYF,QAT,ROU,RUS,RWA,SAS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSA,SSD,SSF,SST,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TEA,TEC,TGO,THA,TJK,TKM,TLA,TLS,TMN,TON,TSA,TSS,TTO,TUN,TUR,TUV,TZA,UGA,UKR,UMC,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WLD,WSM,XKX,YEM,ZAF,ZMB,ZWE
1988,,60.93404068,36.70268637,17.79532722,11.32354259,53.18181985,75.60654903,15.99499122,20.62709363,4.350387136,17.12693484,6.714342288,19.22461333,26.74588818,46.53783796,19.84629523,61.63038497,67.52494518,63.88565509,45.16007978,62.61905559,19.39942934,46.70438919,33.47840769,29.46923137,11.89996111,27.86921095,14.78134312,20.54212207,5.917200594,40.42217398,21.77544316,50.70182564,7.974898415,38.33744794,13.28036811,,20.64413914,48.54116342,33.6008614,105.6728257,47.94273958,52.03687499,21.25381982,20.93445637,52.63611811,21.32911951,21.73754646,22.93026412,,,15.68666596,37.11061669,17.44822457,46.59455327,18.03029249,12.86144824,20.77007621,34.0401609,41.11711195,48.43624787,38.13369113,29.45293236,23.95758217,17.50688338,75.77587916,16.30953467,44.47616108,10.37338426,11.69819801,36.08780964,20.60159266,43.6683625,7.839916905,8.686032249,14.15232552,,9.45318073,39.52603511,14.8338868,18.48564282,38.25895569,,30.51501865,67.04610893,42.17052347,47.16285206,13.49544782,20.37287592,6.147446932,35.35224819,8.452167931,26.24853233,17.55785031,,35.62332645,45.35374604,24.77305554,30.76331298,38.35732124,42.59422803,44.69268389,53.35421805,65.1119654,16.64906382,47.3864879,,59.86864301,,10.79789184,49.43830915,51.48222313,8.404837946,17.93355073,18.52287282,20.73941823,31.78224668,12.73448875,20.28113957,16.4419444,16.92317459,24.81131271,4.430736694,,25.55577054,64.22610877,21.11123525,26.65765136,24.74490559,10.47510305,56.65998867,19.08846037,21.01934418,48.29210043,42.91226998,,29.9307486,51.43044425,44.65745664,25.18792602,38.91729827,30.91937236,20.34025669,30.20605356,,,22.30555369,,36.32808997,18.86214703,30.02909368,51.95092922,24.5987073,12.58620368,44.79955923,51.73356776,62.23760033,14.41583917,43.70233318,49.77639151,23.92523186,17.87769009,11.40842711,22.48645256,96.79303315,17.82282668,29.41344191,15.51768483,11.03512973,26.1050822,,131.8628475,81.46503227,33.35731846,18.6755375,10.56897159,56.23269265,,6.26120831,17.45846451,65.69245776,31.37623024,67.96803034,15.91794414,27.54731821,24.42091125,,15.08036423,45.53967676,53.8890928,19.28080861,30.6986345,9.883977844,22.43909602,17.50073816,7.887461014,16.2663391,,107.8546334,33.02637946,22.10292837,52.91104181,60.50010223,85.07410559,57.34987476,41.65390673,18.61227496,7.261605932,25.93098861,39.45591374,,21.73599299,25.35486021,49.39345771,41.88855965,49.38941794,27.52249459,15.88214197,28.09052685,35.4978689,24.57792138,6.534100282,26.28530318,,19.67011674,34.05828754,,64.80278938,41.25184992,30.89054394,56.13023222,23.54755358,74.0932589,37.85805304,20.98846537,19.69472194,50.05900338,4.923351204,60.50010223,49.38941794,19.51321399,37.8297061,32.80233204,,21.01731878,60.63601591,33.30634971,38.54560214,13.02923011,11.37562552,50.81570327,19.17315239,32.38785939,,18.55936248,26.76173797,10.2628659,39.5711694,4.352493321,,53.81038446,34.89130208,32.40167606,26.43571984
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,56.04007487,36.21139465,15.04932411,11.0575598,51.84250005,74.50524872,16.16008267,17.17492566,4.297509391,17.15889968,6.742876093,16.58960843,22.95404184,46.38418061,18.14446638,59.94093168,67.0614416,64.81821588,34.39503925,61.53230764,18.54483632,37.68888575,23.77368042,28.88043697,11.31984402,28.78971469,15.40530411,21.06005667,5.898266787,40.74391767,21.41166877,50.47240118,7.78182781,28.25829584,12.11418991,,21.27936158,49.63919986,32.98860507,103.0960107,48.4056537,52.44680493,20.42419473,21.04839074,53.78838901,21.08690083,21.63203996,21.83979031,,,15.05668015,26.60992605,15.19417914,46.68573635,17.87442888,11.6860659,20.93668678,33.49823718,41.75844181,48.53886529,38.78801153,23.50625959,19.63903317,17.8827313,72.35248824,14.58722172,44.13017097,10.16179766,8.981276938,35.92373597,17.1838424,43.50223394,7.314140165,8.818358913,13.28749298,,9.838668232,39.8173673,13.79293918,15.16917042,37.29776512,,30.45169521,67.70768828,42.09286987,47.25860107,12.45954868,20.35511156,6.026314562,36.02451007,8.374898523,26.26933274,16.16045313,,35.83989066,45.13795562,20.00939281,30.78511363,28.61255423,42.55193558,44.58418535,52.49673085,62.85285261,16.66599067,47.28512142,,60.60455536,,10.26351045,47.25099269,50.26479353,8.171335937,17.28715428,16.83137384,20.54640863,30.4957129,12.54349306,16.37632379,16.45444814,14.87305912,25.05560949,4.458143672,,25.67516194,62.77439248,21.81345569,26.94943894,23.33750154,10.32988699,54.49092994,19.15039293,21.70899303,48.3712447,42.90614973,,29.93270948,51.23926406,44.64782851,26.348943,38.74497934,22.22962392,18.27980147,21.72067028,,,21.95005159,,26.32338046,19.11081013,29.38614394,50.20801074,26.56755931,12.30546364,44.79832286,41.75290108,61.39992072,13.80087084,43.82090267,47.9461829,19.73243016,16.12200652,11.10545679,22.47802203,95.5356465,18.0492242,29.11089659,15.7044394,10.56675161,25.2361668,,130.8784276,77.89286596,33.18037992,16.97843335,9.983466604,57.11361079,,6.25842797,16.16016668,65.11932304,31.38097609,67.31833036,15.5054988,31.71633147,24.50291603,,15.088261,32.88098618,52.72014754,19.09505955,30.58115236,9.736873816,23.04140193,16.9245575,8.015541999,14.44865903,,105.5053241,24.56723922,16.7950098,53.11099248,61.08062641,83.59233911,57.34288923,41.53854649,18.91690996,7.303575131,25.62385208,40.12171965,,21.37474283,20.02252424,48.5768457,41.9972222,48.57308146,27.58711645,15.91792049,28.4493405,26.1027634,19.70773402,6.141198517,26.63700172,,19.24394903,32.5675528,,64.58295334,41.90401286,24.34260074,54.70260434,23.73444347,61.93047106,34.74833266,21.72937087,19.72161455,48.25028321,4.879952569,61.08062641,48.57308146,19.27430589,36.45532294,29.33544879,,21.27555788,61.24255898,23.7170585,38.47426492,13.10184667,10.87358754,43.000922,19.45900561,29.05616713,,18.69919596,26.96365789,10.50312319,39.50788959,4.357203583,,53.60163019,35.92046026,30.61432777,24.93033877
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,56.05448305,39.64056265,14.29310003,10.81286722,52.87521793,75.56362831,15.66941992,18.54667114,4.322886886,17.32235273,6.803757356,15.24514611,23.61646317,47.18177558,16.86849124,59.00824259,66.61651305,65.42196522,29.14142037,62.46652544,18.68255765,37.95347469,20.30815667,29.43093726,11.18737813,30.21271633,16.16227859,20.35814543,5.70835931,41.0065705,22.36437117,52.25120777,7.824123321,23.35711533,11.27034445,,21.94511284,51.63351915,32.30402622,99.60771181,51.07883229,61.63371714,20.42475508,21.05216741,48.77078264,22.0065383,21.69207821,21.75224079,,,15.19674804,20.98845891,14.08379102,50.85019937,17.95247109,10.94668302,29.80004938,32.34921606,43.01141817,49.5333235,39.98030681,22.28486555,18.17840561,17.95547565,73.29447544,13.56589592,43.55805505,10.06732195,8.065298029,35.4848492,15.35677025,44.17530296,7.092406007,8.833367028,12.60229344,,9.559811103,41.80434931,12.97541858,15.75805384,36.50148156,,30.58253471,70.34528021,41.88874324,53.70123277,11.99812407,20.46327041,6.043513843,38.70556943,8.444836789,26.51026229,15.73864665,,37.27139965,45.37814201,18.02012802,31.01404248,24.30350172,43.65890785,45.54967849,52.49141251,62.42327469,16.49438573,47.53615445,,61.49603362,,9.854683477,48.02147067,50.95662132,8.018388389,17.12624191,15.44006304,20.51293437,29.75398248,12.45214952,16.51784006,16.1797936,14.97518453,25.1825367,4.479850383,,25.77766471,65.89427637,23.23277396,27.17834793,24.63055079,10.53349317,54.19345144,19.44802973,23.13258374,48.73217692,43.30788922,,30.71722048,51.8549485,45.65973941,27.80416806,39.8493169,18.48781706,16.97141088,18.24626796,,,21.71926621,,21.99469699,19.35995483,30.29161728,51.29791617,28.90617401,12.91087609,45.87612103,35.85635145,59.90442308,13.25441504,44.2287147,48.4001532,18.48868534,19.16057328,11.09447199,22.83011027,94.98384277,18.12599683,29.20882033,15.90752898,10.4139048,27.24717727,,128.5868795,74.46911257,34.37261799,15.77620866,9.578694148,56.26103336,,6.234678209,15.77377775,66.1496464,32.95652012,69.59438048,16.300258,35.44074464,25.22602241,,15.81178177,26.31275504,52.19685648,25.27062347,30.96057371,9.672494205,22.99004727,17.04205406,7.992653197,13.5978442,,105.6448713,21.16136449,15.32830162,53.74521954,62.08017271,92.91276008,57.13961652,41.08928332,19.17276677,7.209289957,25.71070039,42.83783835,,22.45903897,19.64217277,48.22891105,42.66622268,48.22539377,28.82662534,15.9390288,28.37746754,21.65568172,16.7514591,5.918966093,27.67481028,,19.19024452,32.38165925,,63.864809,43.16700149,22.64023084,54.17402175,23.83641492,62.68557131,35.16615995,23.15145309,20.2650325,48.72972961,4.912410469,62.08017271,48.22539377,19.36819898,35.63074866,30.20196812,,22.3307224,60.33844316,20.10004293,39.76270926,13.34609428,10.69614995,40.03542658,19.25655406,32.56406277,,20.5417515,27.10273002,10.3989398,40.45669888,4.382477465,,54.69014226,37.03792007,30.88282852,25.25154114
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,43.21094707,35.29216767,12.17598326,10.92749845,52.79730469,67.24063338,14.91562346,20.96387232,4.339080007,16.38137962,6.607162641,15.29663318,21.11154765,43.19245097,16.2806338,46.02261113,59.00206017,80.23563347,23.1008418,52.606263,17.47408637,35.38662978,18.82530767,25.78443453,11.44620163,39.77895753,13.77506387,17.33199887,7.37241961,50.72600627,21.71438469,51.47925568,8.114165,21.1949048,10.9720765,,22.86273012,56.89743587,27.65451027,81.88294993,47.07936144,56.74243868,21.5222926,20.41033551,33.72043724,20.68529224,18.38165608,20.74618897,,,14.5290099,19.28864999,13.39368326,43.11745862,16.70532169,10.39023314,21.34326702,28.49001271,46.91253178,51.31601862,43.5935823,20.17200759,16.75399603,19.4304039,79.56297504,12.92051788,38.54949375,9.947261956,8.007031131,31.19806258,14.32135485,41.46815496,6.912545794,9.481997387,12.26129727,,9.508991778,34.92150088,12.30739893,16.57218454,27.06847214,,26.28173756,51.42479122,30.92094702,41.81004277,10.64138672,17.1387904,5.5212853,37.33177561,8.813820604,18.30223061,15.64816496,,40.17349718,40.50160418,17.53064305,30.08168398,21.82700469,46.30741752,46.96931642,49.24900751,53.97391126,17.11373179,46.91811953,,65.66193004,,9.261923204,37.22546487,55.06001284,7.901968162,16.73646008,14.22591662,19.94518639,29.11889943,13.20743784,14.98541998,15.14638636,14.96126118,28.17367825,4.314494951,,25.97494325,65.58517836,21.89549647,30.15931667,24.68310541,9.466795539,54.22123122,16.97655007,21.8227386,48.46657982,39.45498438,,30.41385172,53.49608004,47.08538975,26.39929039,42.89664663,17.4990803,16.24854947,17.43835938,,,21.34272111,,18.60683421,18.2877897,31.61021199,49.59504376,26.01751822,12.50873445,47.84296998,29.0470203,53.49259412,11.8289078,47.97633578,46.42795843,17.23125088,18.44796593,11.96434107,22.57308851,64.99106496,18.70750843,29.43248757,19.81326962,10.19383119,25.626632,,112.1220277,59.9543648,32.15238718,15.22863719,8.811774721,60.33007887,,6.09778713,15.15639941,57.3054773,30.57060697,63.87646024,14.13570391,41.01236026,28.04409122,,13.75353959,25.14018606,45.36723686,19.14956554,31.99747762,9.927760688,23.33701693,16.42383925,8.556641665,13.10822605,,102.5636164,17.33271578,15.01957972,48.68999583,65.93455292,92.63566227,55.47293842,29.16028095,26.71651782,8.378956894,22.26966599,38.68068909,,19.49512131,17.01984292,42.04205435,34.67819553,42.03965279,26.59424024,15.70650167,17.45827413,20.11395252,16.64573194,5.386457219,26.47072414,,19.87310249,31.19540479,,58.99097253,47.10457849,20.60897463,41.04037681,24.82432084,44.59026932,20.7456506,21.86954567,20.03113402,46.75645771,4.921047413,65.93455292,42.03965279,14.96919491,28.42592133,27.72502235,,21.19967195,55.87116702,17.52994525,41.79106297,11.90038618,10.42095153,32.90754344,16.53352661,28.83724613,,17.58792998,29.26508763,11.05325636,41.77752741,4.401894172,,43.3594004,35.85010894,28.33716731,25.48018572
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
