Year,ABW,AFG,AGO,ALB,AND,ARB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CEB,CHE,CHI,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CSS,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,EAP,EAR,EAS,ECA,ECS,ECU,EGY,EMU,ERI,ESP,EST,ETH,EUU,FCS,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HIC,HKG,HND,HPC,HRV,HTI,HUN,IBD,IBT,IDA,IDB,IDN,IDX,IMN,IND,INX,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAC,LAO,LBN,LBR,LBY,LCA,LCN,LDC,LIC,LIE,LKA,LMC,LMY,LSO,LTE,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEA,MEX,MHL,MIC,MKD,MLI,MLT,MMR,MNA,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAC,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OED,OMN,OSS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRE,PRI,PRK,PRT,PRY,PSE,PSS,PST,PYF,QAT,ROU,RUS,RWA,SAS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSA,SSD,SSF,SST,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TEA,TEC,TGO,THA,TJK,TKM,TLA,TLS,TMN,TON,TSA,TSS,TTO,TUN,TUR,TUV,TZA,UGA,UKR,UMC,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WLD,WSM,XKX,YEM,ZAF,ZMB,ZWE
1960,35.679,51.293,55.035,40.925,,47.68995549,47.163,23.682,38.509,,34.157,22.4,17.9,45.931,48.184,16.8,44.304,47.24,49.023,17.8,45.934,34.388,31.504,23.454,44.967,28.3,44.539,42.336,30.576,45.183,49.768,47.246,43.715,26.7,19.11743513,17.7,16.068,36.034,20.86,55.522,42.829,46.651,42.356,44.904,47.707,48.011,44.558,40.30751376,31.95,,,25.558,13.4,17.3,43.595,,16.6,51.889,49.671,26.62634179,43.62757636,26.31002062,27.17704943,22.09906978,44.27,47.199,18.83871268,48.727,21.7,16.7,47.821,18.57959196,46.9195399,18.5,45.415,18.7,,43.567,32.86,17.5,25.078,46.808,,46.05,49.297,42.367,41.49,18.9,44.853,,48.399,37.601,43.02,21.5916792,35.246,49.949,48.32191719,18.4,44.211,14.7,32.62603138,35.03043345,47.08637416,45.14652615,44.56,48.01102923,14.1,42.1,,21.5,47.771,42.164,28,26.9,18.1,40.608,51.634,17.3,35.529,51.274,40.682,46.626,47.453,,42.266,42.134,41.92796241,43.308,38.373,49.024,50.392,48.9,41.35257264,48.1151521,47.53744153,23.1,37.098,42.78481688,35.20373902,42.266,25.8076929,22.5,16,16.7,30.459,,50.98,,27.697,48.704,54.695,47.28245771,45.529,,34.30273412,29.665,50.189,26.2,43.293,47.78820423,29.553,45.987,,49.898,49.35,44.208,51.8,42.694,23.97152386,42.446,34,58.122,46.336,51.459,20.8,17.3,44.942,,26.5,23.00790696,49.347,37.61345951,44.187,41.439,47.198,44.302,,42.407,22.6,48.14023655,32.4,37.139,24.1,41.888,,45.50380397,20.98434136,41.275,42.381,19.1,23.788,52.248,42.96045521,47.577,46.7,50.325,37.5,40.781,47.149,47.381,,47.63,,47.50667092,50.87,47.50667092,38.86316611,47.615,45.47,21.7,17.6,13.7,47.593,,,48.441,,45.764,26.49056971,26.72663305,47.479,42.737,48.646,45.71,41.79023816,46.228,47.78820423,47.175,42.96045521,47.50667092,37.333,45.474,45.393,,49.296,49.557,21.011,27.33871659,22.075,23.7,44.066,47.877,46.461,,35,42.165,48.783,31.81119438,48.133,,50.428,40.222,49.994,48.164
1964,30.737,51.644,53.956,37.696,,46.77021394,44.546,22.857,31.54,,33.328,20.5,18.5,42.774,48.059,17.2,45.805,47.273,49.091,16.1,44.749,31.2,28.584,20.068,43.018,,43.539,40.392,27.429,40.655,50.02,46.752,43.807,23.4,16.50460321,19.5,16.909,34.293,39.14,54.162,43.919,46.891,42.747,43.625,46.951,45.911,41.53,38.11076351,34.8,,,23.339,15.9,18,44.546,,17.7,48.093,48.877,39.8444923,42.5341467,37.48213219,23.44501999,20.70957292,43.334,44.914,19.20846908,48.081,22,15.4,47.789,18.50989623,46.69249117,17.7,40.247,18.4,,42.523,35.166,18.8,23.507,47.421,,45.319,49.793,41.924,41.362,18,37.01,,46.502,36.928,39.471,20.79221442,30.7,48.973,48.18711489,16.2,42.781,13.1,37.81422456,39.33569398,46.77147797,44.8302751,43.141,47.69569062,14.4,41.004,,22.4,45.491,44.739,25.3,25.7,19.7,40.353,53.409,17.8,31.392,50.842,37.625,45.435,43.562,,36.559,45.411,40.62098771,42.883,36.187,49.152,50.708,44.577,40.04582252,47.86944334,47.21785224,20.6,34.504,41.60963851,39.60709144,42.368,35.83566722,19,16,14.8,21.537,,48.487,,23.784,48.292,54.428,45.95148071,44.167,,39.04458917,28.007,50.113,19.9,41.571,46.41789157,26.34,47.367,,48.799,47.983,38.9,53.009,39.951,21.31043823,42.191,33.8,58.153,46.025,47.517,20.7,17.7,43.746,,24.2,22.28666294,48.975,36.64996786,44.199,40.371,46.196,42.181,,41.866,18.1,48.13542574,31,34.79,24,40.791,,42.20177153,20.14829847,37.88,40.082,15.2,18.936,49.985,42.06637004,47.439,46.98,50.213,31.6,41.148,48.17,46.003,,47.262,,47.29349629,51.508,47.29349629,37.41940018,45.616,43.186,20.1,17.9,16,48.182,,,47.034,,45.511,39.91054078,22.92454633,47.847,42.042,46.729,43.534,40.33908525,45.972,46.41789157,44.491,42.06637004,47.29349629,33.361,44.843,42.732,,49.053,49.16,16.739,36.88343061,21.406,21.1,42.133,45.187,44.847,,33.48,39.668,46.339,35.00333391,46.091,,52.286,39.163,50.129,47.948
1968,25.817,51.738,53.25,33.451,,45.5107385,40.185,22.547,24.389,,32.18,20.1,17,35.358,47.546,14.8,46.622,47.45,48.433,16.9,40.822,26.821,24.959,16.748,42.081,,42.654,36.934,23.285,37.2,49.694,46.268,43.427,17.6,18.01935384,17.3,15.769,31.573,35.59,52.963,44.639,46.795,43.098,40.129,45.936,42.858,35.787,34.52281429,31.591,,,20.046,13.9,15.7,45.071,,15.3,43.808,47.494,36.75639064,41.26637991,34.78224343,21.53316847,18.9641719,42.005,42.988,17.42455085,47.152,20.1,14.9,47.795,17.48011911,46.36728929,15.9,35.43,17.5,,41.707,36.725,17.2,20.969,47.165,,45.091,50.003,42.274,41.829,18.4,29.233,,45.581,32.863,36.998,18.76994783,21.7,48.324,48.00224455,15,40.299,15.1,35.57097937,37.4044131,46.24937402,44.20462895,41.196,47.22071134,13.7,39.74,,20.9,43.119,46.301,21,24.9,17.7,37.359,52.037,18.7,26.468,50.674,33.389,43.891,37.421,,31.606,48.174,38.3953529,42.926,33.435,49.029,51.459,40.534,37.79880661,47.47073752,47.25235126,20.7,32.049,40.35627732,37.68132198,42.622,32.89088699,17.6,14,14.1,13.76,,44.668,,20.307,48.093,52.005,44.34470067,43.943,,36.97139884,26.489,50.282,16.7,40.185,44.72029417,22.73,45.056,,48.299,46.681,31.6,53.72,35.436,17.6,42.717,35.26666667,57.433,45.994,46.165,18.6,17.6,43.05,,22.7,20.55263863,48.376,35.6743519,43.555,38.619,43.848,40.114,,41.368,16.3,48.10556241,25.5,37.774,22.1,38.774,,38.83898673,18.14900302,35.864,37.655,26.6,15.098,49.393,40.9477459,47.015,47.182,50.145,23.5,43.326,48.679,43.825,,46.911,,47.10107288,51.34,47.10107288,35.5500505,42.233,39.014,17,16.8,14.3,49.034,,,46.192,,46.153,36.74310922,21.02996187,48.146,39.846,43.501,39.352,38.14766569,44.373,44.72029417,39.266,40.9477459,47.10107288,27.973,42.766,40.71,,48.635,48.916,15.16,34.12679905,20.672,17.6,38.343,42.02,39.959,,31.96666667,37.271,43.28,33.23448845,42.749,,53.196,38.127,49.614,47.489
1972,23.068,51.476,53.781,30.558,,43.92681212,34.099,23.387,22.262,,28.474,20.1,13.8,29.459,47.333,14,46.995,47.59,47.096,15.3,35.941,26.47,22.521,15.697,42.008,,41.944,34.112,20.571,36.368,48.459,45.771,42.82,15.9,17.02357482,14.6,13.767,27.889,29.77,52.012,45.019,46.499,43.401,35.095,45.246,40.787,30.653,31.67484098,26.741,,,18.726,16.6,11.5,44.756,37,15.1,39.832,46.7,31.82686258,40.01204643,30.46591417,20.64592308,17.67530806,39.864,40.933,15.36853407,46.116,19.4,15.6,48.38,15.59897048,45.8087124,12.7,33.192,16.3,20.5,40.123,37.258,14.9,19.101,46.072,,45.691,50.783,43.427,42.459,15.9,28.407,,45.143,31.419,34.936,17.31437328,19.5,47.021,47.89193308,14.8,38.42,14.7,32.67724632,34.95284137,45.82280084,44.01322151,38.631,46.68686171,15,38.525,,22.6,41.512,44.334,22.4,27.2,16.3,32.983,49.115,19.2,25.587,50.763,31.901,41.929,33.018,,28.4,46.908,36.27208988,43.061,31.55,49.116,49.747,37.612,35.68356273,46.98838202,46.87495338,16.2,29.316,39.20028076,35.15447835,42.815,28.68931182,17,11.8,14.6,10.34,,41.276,,19.556,47.988,48.444,42.71649646,43.555,,34.27944133,23.827,50.361,17.8,38.765,42.94233706,20.653,43.15,,48.311,45.556,25.3,53.732,32.874,15.62845358,44.015,34.6,56.553,46.77,46.096,16.1,16.3,42.606,,21.8,19.32475625,48.202,35.24864787,42.725,36.426,40.953,38.483,,41.077,17.5,48.11697315,24,33.437,20.2,36.093,,37.19161571,16.62046229,34.375,35.081,18.8,14.962,50.846,39.76618839,46.397,47.097,49.907,23.1,47.138,48.729,41.956,,46.087,,47.18057102,50.353,47.17759524,34.36992951,40.499,34.872,19.1,16.4,13.8,49.334,,30.8,46.231,,47.787,31.80574963,20.34921992,48.275,35.451,41.488,37.175,36.09849031,40.321,42.94233706,33.938,39.76618839,47.17759524,26.611,39.678,39.233,,48.048,48.699,15.278,30.15583714,20.97,15.6,36.37,38.596,35.439,,30.45555556,35.619,41.142,31.1296475,40.004,,53.344,37.471,49.457,47.574
1976,22.414,51.028,54.541,28.397,,42.60161516,30.108,25.107,22.721,,22.884,16.2,11.6,26.524,48.862,12.3,47.262,48.424,45.411,16.5,33.293,25.645,20.214,15.643,42.369,15.2,41.408,32.894,18.6,34.538,46.66,45.362,42.351,15.6,18.44908627,11.8,12.156,24.821,19.91,51.025,45.354,46.342,43.256,32.662,45.278,40.357,29.263,29.3762871,19.915,,,18.753,18.5,10.2,42.929,24.7,12.9,36.542,45.69,23.93339058,38.63831947,23.20295512,20.82736306,17.12352715,37.189,39.583,14.00120281,45.385,18.7,15.1,48.582,14.618962,45.22961553,14.1,33.394,14.6,18.3,38.63,37.662,12,18.432,44.609,,46.589,51.529,45.59,43.164,16,29.54,17.3,44.781,30.472,32.169,15.85932368,17.4,45.691,47.74334196,14.8,39.177,17.5,28.56639557,31.5329151,45.42303513,43.98790827,35.938,46.11824314,11.9,37.154,,20.9,42.085,41.882,19.5,27.9,14,29.726,44.615,16.2,25.476,50.33,31.457,40.627,33.868,26.9,22.2,41.474,34.45315064,42.849,30.663,49.081,45.652,37.199,33.88615367,46.47791683,46.19597024,14.4,27.971,38.0314208,31.62093789,42.444,22.2533083,15.7,10.9,14,10.152,,39.232,,20.039,47.541,45.421,41.75891191,39.505,,30.51683541,21.923,50.118,18.6,37.182,41.98420841,19.197,40.712,,47.865,44.389,25.8,53.55,31.714,14.69747233,44.216,29,56.291,47.279,45.632,12.9,13.3,42.358,,17.7,17.73229323,49.553,35.07244734,42.323,33.632,38.863,37.587,,40.611,19.6,47.98444645,24.2,24.155,20,35.669,,37.00257654,14.94583699,32.542,35.142,19.4,15.641,52.86,38.48134032,45.149,46.569,49.181,18.7,47.193,48.315,40.134,,44.648,,47.12962514,49.203,47.12610197,33.62634656,40.618,30.933,20.8,16.7,12,48.833,,27.1,46.002,,49.124,23.93047774,20.7120775,47.982,30.661,40.026,36.784,34.41800382,34.747,41.98420841,33.051,38.48134032,47.12610197,27.221,37.238,37.052,,47.543,48.769,15.284,24.11662925,20.637,14.6,35.821,34.417,33.557,,26.6,33.694,40.047,28.19757486,38.218,,54.797,36.527,48.858,47.719
1980,22.472,50.596,54.173,26.901,,41.41590259,29.89,24.63,23.823,,20.381,15.3,12,26.591,50.606,12.6,47.337,49.099,43.602,14.5,32.931,26.094,18.474,16.162,41.365,14.9,40.341,32.059,17.712,31.886,44.414,44.243,42.339,15.4,17.15975451,11.7,11.533,23.337,18.21,48.868,45.999,46.296,42.047,31.675,45.84,41.294,29.649,28.83880578,16.196,,,19.876,14.9,11.1,41.27,24.8,11.2,34.365,43.206,22.22436472,37.37363265,21.4930409,20.50092812,16.65284686,34.723,39.124,13.0602224,45.231,15.2,15,48.961,13.89419253,44.46205701,13.2,33.706,14,17.1,38.902,38.145,13.4,18.589,43.164,,47.229,51.008,48.588,43.616,15.4,31.323,20.6,43.824,28.432,31,15.51366175,17,44.012,47.43998245,14.8,41.783,13.9,27.38832296,30.55974788,44.89646542,43.63980272,33.4,45.51674667,11.5,36.096,,21.7,44.206,39.957,19.8,24.3,11.3,28.732,41.105,13.5,23.9,49.355,29.6,45.885,36.222,26.8,22.6,37.41,32.63592664,42.763,29.783,48.834,40.304,35.619,32.12040159,45.97083867,45.88899913,15.4,27.005,37.03973543,30.6139792,41.199,20.92832965,15.2,11.4,14.1,16.016,,37.936,,21.062,46.21,46.563,41.18648343,34.454,,29.43449726,21.163,49.668,17.7,35.583,41.5231394,18.621,38.81,,47.221,43.217,27.2,52.999,31.305,15.85096264,42.685,26.2,56.626,46.945,44.302,12.8,12.5,41.82,,16.2,17.09261088,49.744,35.43963362,42.212,30.898,36.148,36.58,,39.429,19.6,47.49517143,22.8,20.471,16.2,36.582,,36.76434108,14.54093697,30.974,35.081,17.9,15.9,53.7,37.47119422,44.047,45.318,48.39,17.6,44.201,47.944,37.421,,43.917,,46.70832729,48.058,46.70540267,33.75477399,40.834,29.245,19.1,15.7,11.7,48.064,,28.9,44.627,,49.772,22.24720505,20.41684891,47.047,26.454,40.626,36.301,32.6711666,37.978,41.5231394,34.599,37.47119422,46.70540267,28.625,34.934,34.522,,46.709,49.05,15.141,22.74551744,19.227,15.9,33.9,30.835,32.602,,25.8,32.099,39.108,27.45226806,36.986,,55.383,35.258,47.592,46.575
1984,21.989,50.157,53.533,26.363,,39.68001482,30.29,22.833,24.502,,20.474,15,11.8,26.6,51.633,11.7,47.1,48.68,41.023,13.6,32.757,26.251,17.324,17,39.142,15.1,38.456,29.783,17.288,30.423,42.895,40.656,42.345,15,16.00534298,11.6,11.736,23.118,19.9,46.106,46.274,46.195,40.223,29.823,45.664,42.476,29.252,28.02264496,16.925,,,20.467,13.3,10.4,40.538,20.8,10.1,32.633,39.277,22.94354478,35.87485971,21.87188541,20.87522297,16.42518541,32.841,38.589,12.17110376,44.914,12.3,16,49.102,12.97900038,43.08299807,13.3,32.121,14.3,15.4,38.289,38.234,12.9,18.798,41.662,,47.367,49.462,49.464,43.448,12.7,32.818,20,41.643,27.22,30.191,14.64291486,14.4,41.713,46.80199875,13.9,41.979,11.8,27.19783704,30.34472912,44.03595228,43.30036197,30.417,44.40344249,,34.828,,18.1,43.39,38.725,17.2,23.7,10.4,27.951,38.557,12.5,25.5,47.637,32,50.186,37.196,25.3,16.7,33.661,30.53160027,43.136,28.015,48.059,35.619,32.475,30.09446265,44.96433783,45.57047996,15.2,24.622,35.82266668,30.40823994,39.066,21.6553364,16.4,11.5,15.9,22.4,24.3,35.184,,21.918,44.88,48.115,39.62654617,31.354,,29.21940899,20.182,49.109,16.9,32.842,39.96184471,18.209,38.109,,46.31,42.234,20.1,52.288,30.463,15.54093887,40.68,24.8,56.539,45.966,41.683,12.1,12.1,40.794,,16,16.06223555,47.177,34.80296653,42.342,28.783,33.279,35.268,,37.399,19,46.71421637,19.3,21.19,14.3,36.412,,35.39010377,13.73624692,30.564,30.763,15.5,16.9,52.407,36.20519847,41.81,43.512,46.744,16.5,41.953,47.513,34.307,,44.98,,45.85824306,47.694,45.85540188,33.08428916,40.539,29.044,17.7,13.6,11.3,47.103,,26.9,41.885,,50.175,22.96633388,20.70158783,45.615,22.902,42.68,36.349,30.54835077,43.261,39.96184471,33.831,36.20519847,45.85540188,27.701,32.101,31.27,,45.69,49.38,15.6,23.21703883,18.221,15.6,36.3,28.056,31.527,,24.9,31.045,37.829,27.23952719,35.686,33.5,54.566,33.393,46.337,43.324
1988,20.57,49.478,53.2,25.677,11.6,36.94957885,28.01,22.106,23.292,,19.73,14.9,11.6,26.4,51.381,12.1,46.502,47.764,37.353,13.1,30.903,24.357,15.769,16.1,36.973,,36.353,26.452,16.436,29.856,41.039,35.669,41.729,14.5,14.76999491,12.2,12.2,22.664,22.37,44.029,45.429,46.094,38.762,27.511,43.869,41.702,27.744,25.84572014,17.375,,,19.62,12.8,11.4,40.093,,11.5,30.727,34.651,24.04310146,33.54835997,22.69522506,19.85999903,15.86872087,31.08,35.974,11.91095992,43.171,10.8,16,48.164,12.71552152,41.48408209,12.8,29.733,13.8,18.4,35.329,37.643,13.8,18.05,39.846,,46.938,48.035,47.464,42.648,10.7,30.822,22.1,39.497,26.565,28.544,14.27964046,13.4,39.516,45.86341674,12.3,38.884,11.7,26.65669717,29.69774886,42.45122069,42.04669973,27.175,42.65546599,11.7,32.696,,15.5,37.302,38.1,18.7,22.6,10.1,26.138,35.932,10.8,24.8,44.409,31.5,45.768,37.221,21.3,15.1,26.694,28.25832633,43.307,25.708,46.371,31.617,29.773,27.9181558,43.30843738,44.81801155,14.9,21.694,33.76451154,29.78592836,36.549,22.48111825,15.5,12.3,15.6,21.477,25.5,31.102,,20.449,44.429,44.455,35.9713407,29.423,,28.57994116,18.566,48.769,15.9,28.954,36.29084102,17.089,35.27,,45.571,41.38,20.1,50.726,28.839,15.8513508,39.041,24.7,55.86,44.789,37.841,12.6,13.7,39.381,,17.3,15.54284882,41.91,33.66114221,41.594,27.054,31.311,33.855,,35.406,15.6,45.80178501,19.3,20.718,12.2,34.734,,33.61714689,13.49140375,29.675,24.598,16.5,16,49.201,34.08992197,37.785,42.135,44.186,19.8,40.753,46.971,32.031,,47.243,,44.693274,47.776,44.69030343,31.75249244,40.24,28.177,15.9,12.6,13.3,44.656,,23.8,37.969,,50.697,24.08590568,19.47116551,43.589,20.217,42.255,36.45,28.26692215,42.884,36.29084102,31.726,34.08992197,44.69030343,23.167,28.325,27.424,,44.709,49.798,14.4,23.73630304,18.237,16,35.3,25.689,30.157,,22,29.719,36.585,26.79907751,34.001,31.4,53.33,30.616,45.505,39.185
1992,18.446,48.879,52.047,23.46,12.1,33.74473002,23.609,21.366,19.627,,19.292,15.1,12.2,25.2,48.644,12.4,45.432,47.197,33.507,10.4,27.328,23.49,14.044,12.5,34.68,15.5,34.536,23.838,15.63,28.527,36.797,32.197,40.771,14.7,12.27896148,12.6,12.302,20.938,18.27,42.641,43.841,46.086,38.162,25.267,41.208,37.93,25.322,23.83342489,15.871,,,18.259,11.8,10,38.873,24,13.1,28.836,29.35,20.4979797,30.91018337,19.55591557,16.1136542,13.79982017,29.02,30.935,11.20003435,39.783,10.1,11.8,46.979,11.74848542,40.20150174,13.2,28.184,13.1,17.2,33.096,36.487,13.6,15.925,37.988,,45.922,46.976,45.301,41.742,10,25.719,22.4,38.642,24.526,28.201,13.75402028,12.3,37.666,44.91472029,10.3,35.856,11.7,23.56967637,26.94790954,40.51972914,39.94106645,24.581,40.81180899,12.2,30.346,,14.4,29.169,37.338,17.7,21.5,10,24.595,34.33,9.8,20.5,40.85,28.2,38.939,35.754,21.5,16.7,21.373,26.18467863,41.695,23.634,44.48,27.127,26.617,25.87742695,41.59199772,43.98629917,12.7,19.853,31.37164549,27.04425284,34.594,18.81548375,14.7,13.1,12.1,16.221,22.2,27.659,,16.519,44.21,37.02,31.34577779,27.654,,25.63185941,16.802,48.858,14.9,25.99,31.48261501,15.864,28.621,,45.803,40.443,21.1,47.761,27.42,15.6898983,37.106,24.5,55.296,43.848,33.799,13,14,37.558,,17.28,14.97641927,34.549,31.99325959,38.802,25.56,29.011,32.157,23.6,34.535,13.4,44.89425891,17.8,20.609,11.5,32.415,44.5,32.15978769,12.94953596,26.404,21.316,11.4,10.7,45.412,31.64456898,33.684,41.57,42.192,16.8,39.028,46.731,30.437,,49.356,,43.48373023,46.849,43.48099687,30.07988183,40.044,26.861,14.1,10,14.2,40.151,,22.6,34.211,,51.243,20.49658236,15.86823658,41.109,18.312,38.298,33.349,26.19279674,44.824,31.36372767,30.972,31.64456898,43.48099687,18.581,23.544,24.728,,43.471,50.082,11.4,20.10612585,18.173,15.8,33.1,24.078,27.761,,22,26.921,35.609,24.57645085,32.427,23,50.01,27.647,45.076,35.997
1994,17.27,48.937,51.216,21.845,10.9,32.04763818,21.26,20.804,17.172,,19.676,14.5,11.6,21.4,46.701,11.5,44.733,47.026,31.815,9.4,25.553,22.719,13.453,10.8,33.426,14.5,33.718,22.94,15.206,27.209,34.565,30.969,40.439,13.1,11.32664991,11.9,12.069,19.846,17.7,42.201,42.969,46.082,38.314,24.051,39.972,35.547,23.947,22.97251941,15.008,,,17.121,10.3,9.5,37.21,21.6,13.4,27.771,26.371,19.75690835,29.64615397,18.89766828,14.81008561,12.83917024,27.985,28.519,10.56535576,37.83,9.4,9.7,46.529,11.08401439,39.73775674,12.8,27.362,12.5,15,32.443,35.772,13,14.64,37.281,,45.211,46.509,44.18,41.518,9.9,23.35,20.5,38.129,23.718,28.037,13.13881682,11.9,36.589,44.49447333,10.4,34.608,11.2,22.63596253,26.08051696,39.59467555,38.77722775,23.407,40.00563287,13.7,29.269,,13.4,25.5,37.042,16.7,21.2,9.4,23.968,33.694,10,18.9,40.093,24.3,35.62,34.431,,16,21.389,25.25880805,39.642,22.655,43.949,25.154,24.91,24.95739923,40.82840013,43.59777523,11.7,19.23,30.20473275,26.17793323,34.05,18.01964315,11.6,13.5,9.6,13.802,20.1,25.959,,14.82,43.95,32.736,29.07951725,26.774,,24.68923591,15.749,48.858,12.9,25.137,29.17250591,15.193,25.266,,45.851,39.942,19.6,46.547,26.659,14.81066436,35.815,22.5,54.967,43.55,31.87,12.7,13.9,36.52,,15.95,14.38141788,31.196,31.03932652,37.13,25.014,27.7,31.363,22.3,34.527,12.5,44.53331978,17.5,20.308,10.9,31.289,43.78,31.39486378,12.31884009,24.371,20.632,10.9,9.5,43.857,30.50938034,31.552,41.223,41.361,16.2,37.981,46.586,29.53,,50.032,,42.9939043,46.134,42.99129374,29.19326488,40.065,26.001,12.4,9.8,12.8,37.704,,22.9,33.16,,51.373,19.74981819,14.60126356,40.134,17.392,36.042,30.413,25.25949471,46.236,29.03273044,30.231,30.50938034,42.99129374,16.841,21.396,23.9,,42.854,49.969,10,19.29177782,17.853,15,29.4,23.233,26.523,,19.8,24.38,35.092,23.79402853,31.994,21.8,47.181,26.448,45.066,34.861
