Year,ABW,AFG,AGO,ALB,AND,ARB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CEB,CHE,CHI,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CSS,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,EAP,EAR,EAS,ECA,ECS,ECU,EGY,EMU,ERI,ESP,EST,ETH,EUU,FCS,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HIC,HKG,HND,HPC,HRV,HTI,HUN,IBD,IBT,IDA,IDB,IDN,IDX,IMN,IND,INX,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAC,LAO,LBN,LBR,LBY,LCA,LCN,LDC,LIC,LIE,LKA,LMC,LMY,LSO,LTE,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEA,MEX,MHL,MIC,MKD,MLI,MLT,MMR,MNA,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAC,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OED,OMN,OSS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRE,PRI,PRK,PRT,PRY,PSE,PSS,PST,PYF,QAT,ROU,RUS,RWA,SAS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSA,SSD,SSF,SST,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TEA,TEC,TGO,THA,TJK,TKM,TLA,TLS,TMN,TON,TSA,TSS,TTO,TUN,TUR,TUV,TZA,UGA,UKR,UMC,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WLD,WSM,XKX,YEM,ZAF,ZMB,ZWE
1992,,,,,,,,0.002992874,,,,1.768764913,0.642817619,,0,0.100041027,,,,,,,,,,,,0.012946262,,,,,,0.91598104,,1.751713322,,0.036548938,,,,,,,,,0.001113325,,,,,0.05006043,,0.43528529,,,0.386913951,,,,,,,0.26259039,0.005118035,,0.326614548,,0.076845453,0.065484797,,0.310568781,,1.88687977,,0.279049463,,,,0.260615159,,,,,,,,0.048291602,0,,,,,0.719898539,0.849527883,,,,,0.048353421,,,,,,,,0.000111308,,0.169686377,,,1.53916008,0.310579197,0.070053433,,,0.096678025,,,,,,,0.098404337,,0.01268217,,,,,,0.013685007,,,,,,,,,,0.153198791,,,,,,,,0,,0.01730781,0,,,,,,,,,,,,,,0.001047822,1.64464582,,,,,,1.320008028,2.216365832,0,,0.285941241,0.667901584,,,,,,,,,0.052127181,,,,0.250426501,,,,0.777235173,,,,0.000672532,,0.000108983,,,,0.471368155,,,,,,,,,,,,,,,1.497871352,,,,0,,,,,0,0.000343725,,,0.013685007,,,,0.000108983,,,,,,,,,,,1.724202539,,,0.012082134,,,,,,,,,0.038869106,,
1994,,,,,,,,0.043705951,0.009117014,,,2.232101254,1.393422968,0.001431415,0,0.69599469,,,,0.019526669,,,,0.000485951,,,,0.037672709,,,,,,2.378693853,0.38928487,2.720004329,,0.141084507,0.001168115,,,,,0.107173945,,,0.279912479,,,,0,0.111034621,1.259217838,0.922541043,,,1.34430775,,0.000360674,0.004032795,0.015019465,0.1173821,0.040792597,0.56486695,0.034833586,0.00638327,0.848076676,0,0.280069738,1.159750913,,0.82739372,,4.915098554,0.007907399,0.899867425,,,,1.036609166,,,,0.000138318,,,,0.378174312,0,0.064712121,,0.34845391,,2.007949396,2.784198266,,,0.268318997,,0.483580975,0.019165727,0.018579872,,,0.001059744,,,0.001069562,,0.558377222,0.000408332,,6.794811784,0.57696646,0.192304619,0.036817104,,0.799684291,0.000521079,,,,,,0.311359364,0.147162703,0.04664973,,,,,,0.050067812,,,,0.002765448,0.00211151,0.014043951,,0.027812187,,0.496486119,,0.036993376,,,,0.000825391,,0,,0.043339167,0,0.014265204,,,,,0.002825689,,,,,,,,0.099607417,4.617876749,,,,,0.013166228,3.257308831,4.152450292,0,,3.168718848,1.777223317,,,,0.007636899,0.008504578,0.005844253,,,0.389098144,,0.027254662,,0.718905754,,,,2.013001237,,,0.026300162,0.053817493,,0.001078738,,0,,1.185203797,,0,,,,,,,,,,,0.318509704,1.071570172,3.412810096,,,,0,,,0.004032795,0.076628076,0,0.038614321,,,0.05004422,,0.002825689,,0.001078738,,,0.007379544,0.049869182,,,,0.013641246,0.022372882,0.062474386,4.862780635,,,0.055486978,,0.940645283,,,0.449974396,,,,0.246905533,0.006776105,0.00173928
1996,2.768382663,,0.000775929,0.032196828,1.526601023,0.037760688,0.375393534,0.141954704,0.094572902,,2.858449577,3.27524987,6.909162353,0.006354585,0.000803592,2.968411647,0.0016931,0.000960519,,0.725251167,0.843254219,1.746950698,0.015125563,0.029298294,0.882807327,16.20246602,0.196081174,0.450789179,0.389464214,3.303349927,,0.15745423,0.005849503,6.76023965,1.068195153,4.549656748,,0.68347561,0.013081692,0.00840978,,0.000108207,0.00352686,0.330017773,,,0.84105704,0.554448786,0.031949001,,,0.673343541,1.940378193,3.054805234,0.031166241,1.165518146,5.714987841,0.074987053,0.001738533,0.033709224,0.080640842,0.464733741,0.196868602,1.842912446,0.086161276,0.061466899,2.88294745,0,1.331847404,3.525111129,0.001703448,2.806457334,,16.78007526,0.064437142,2.584033979,2.318786811,0.278037795,0,4.123650336,0.040065419,0.005648763,,0.001948942,0.03550736,,,1.395360779,0.298032982,1.796719191,0.019534871,1.356106888,0.065854115,6.702115061,4.748838672,0.043711246,0.008727645,0.858982368,0.007484253,0.969239536,0.110511008,0.09338656,0.005873208,0.007096642,0.056623989,,,0.046333977,,2.199301832,0.01582608,,14.80647932,2.1683676,1.023289903,0.591145842,0.044938549,4.372981968,0.031824512,0.008839115,,,,1.945569823,1.624237192,0.855662317,0.283597506,,0.140166939,,,0.670465974,0.308723256,,0.003233658,,0.054464499,0.039000537,0.079482833,0.00284594,0.140571361,0.277421291,5.551653306,0.812717072,0.727273598,,0.005675444,,0.004643901,0.003695196,0.22693009,0.084423366,0.20040628,0.037059432,0.085235844,0.075995734,0.002055228,1.051527475,,0.025890086,,0.018160749,,0.003042979,,0.183769158,,0.852044466,15.46949977,0.009032145,0.252983946,0.001039305,0.00883298,0.084093291,9.649069145,18.25031077,0.004510473,,8.041899368,6.107924932,0,0.859184372,0.00299173,0.219998526,0.24623258,0.055946029,,0.002067023,1.295200255,0.004823667,0.268160428,,2.98087767,0.020359612,,0.131097922,6.82563169,0.090971944,0.930185833,0.221622649,0.26975293,0.000883372,0.040798701,0.026732651,0,0.011238219,8.34995903,0.268683585,0.002506116,0.086389581,1.428075186,0.00150955,,0.068642756,,0.068722178,0.723185979,,0.226306297,0.783290109,5.072272271,9.04359976,0.050399009,,0.651474286,0,,,0.033709224,0.299732725,0.010929139,0.115472136,,,0.313095565,,0.025890086,0.163793456,0.040798701,0.068722178,0.393080525,0.027615372,0.192724936,,0.001622155,0.004625948,0.098580381,0.12668712,1.847472089,16.41935296,0.004285074,0.483248317,0.24826058,,4.647185664,0.000134813,0.056845636,1.334137858,,,0.000621081,0.841882931,0.009069176,0.016790484
1998,,,0.018453724,0.06502737,6.886209218,0.261615115,6.908302986,0.83076668,0.128659478,,4.0717165,30.81323944,15.42121932,0.037485109,0.015842776,7.886622701,0.047877304,0.045423484,0.003684813,1.844965121,3.218202151,2.33559071,0.14367106,0.073868897,2.091516391,32.10375935,0.626484062,1.477874959,1.970249237,6.284742844,,0.602400929,0.027878201,24.8974003,3.511563902,24.8,,1.662322022,0.168540297,0.060974439,0.013216341,0.000413065,0.003415143,1.126225245,0.03787097,0.472735008,2.666378698,1.943876388,0.226699199,,,8.890539159,3.895906065,9.877852428,0.094696004,2.925345191,22.66874615,0.233914189,0.020238555,0.324176751,0.344094257,1.882787353,0.707576244,5.435921912,0.125272771,0.147987377,8.017171227,0.008774236,4.361892394,10.79603483,0.009663517,8.421417268,0.072648327,25.45252493,0.633167865,6.319778722,11.33786848,1.858718785,0.17012488,13.6699831,0.102830957,0.032240443,4.183794329,0.006203369,0.206094461,0.024060421,0.094423774,3.221821786,1.484854484,14.65444717,0.466590444,4.50128419,0.26408811,15.86887885,14.54597958,0.301247214,0.043738561,3.273220279,0.023999477,3.894643278,0.495190259,0.40305662,0.035375282,0.04499245,0.255306646,0.029895529,,0.139027329,,8.096010043,0.099815221,,36.2642065,10.30706995,4.558519565,1.978726318,1.305888264,13.41404088,0.131069604,0.050261388,0.072808334,0.016324986,0.616545618,3.343810607,6.781815468,3.052397455,1.158766986,0.009657814,2.722352199,0.004099387,,1.304988973,1.229663219,0.021008731,0.028000461,,0.296351104,0.160372318,0.361929942,0.010956533,0.629712693,1.972063745,11.74555372,3.315267886,7.003324245,,0.142300767,,0.260818206,0.062561023,0.569627464,0.487321735,1.265783278,,0.390258931,1.002861666,0.019793888,6.500783995,,0.158224277,,0.145810542,,0.020197055,0.040594795,2.565279962,0.018057365,6.751770483,29.58557051,0.286745093,1.936042825,0.002911503,0.025231461,0.303808975,22.24382769,22.56011255,0.064393596,,31.63626081,14.30898965,0.862725306,2.53528547,0.043947719,2.750648071,1.19038044,1.103405994,,0.234958542,4.102272002,0.028447464,2.647646679,0,9.870446442,0.194904951,,0.612237965,15.921655,1.316164696,3.52002985,2.237649473,0.812744451,0.011763573,0.117013678,0.101429893,0.004805071,0.079871379,19.59076716,0.508292797,0.014805065,0.425253672,1.408557941,0.00716442,,0.233707081,,0.233989844,2.256958422,0.295847047,1.670148436,2.689809786,10.10460285,33.46751233,0.096099605,,2.526177514,0.063687286,,0.004268504,0.32837975,1.021316108,0.305583935,1.091218985,,,1.238504815,,0.158224277,0.765134358,0.117013678,0.233989844,2.724825339,0.107940957,0.698805129,,0.009244125,0.065289465,0.301075792,0.617337584,6.987069365,30.09319659,0.020754437,1.853997683,1.383990391,,9.245220221,0.013078543,0.274185942,3.156366445,0.230359015,,0.023323243,2.906220867,0.030226183,0.081648476
2000,15.44282295,,0.105045562,0.114097347,10.53883561,1.139541123,23.62530088,7.038683086,1.300470022,,6.482225737,46.75611561,33.73013295,0.147757576,0.077248447,29.43169169,0.225247851,0.077080169,0.071039423,5.370923469,6.153732546,8,1.08296075,1.860398126,5.963835303,42.94986002,1.442763585,2.870685159,3.973678355,8.996284534,0.400944447,2.902666622,0.053394174,51.3,7.037650207,47.1,,16.6,1.775913207,0.231461671,0.252120078,0.005902114,0.026354732,2.207532993,0.271740607,1.822443852,5.800253023,4.940877784,0.541182549,,,15.25539437,9.780527888,30.2163466,0.194500528,8.814844198,39.17243086,3.704692356,0.491705679,1.897115737,1.238858864,5.592679876,2.02351501,13.18414667,1.462188536,0.641265038,22.52433935,0.136711941,13.62496081,28.57695381,0.015263767,20.55940998,0.256229659,37.24846174,1.496854734,14.30792394,32.91639236,3.734862137,1.216140618,26.82175435,0.484746299,0.153615298,19.13163812,0.095424924,0.921794919,0.230103171,0.132354665,9.138837308,4.063907991,31.74781123,0.712332905,16.11312704,6.611491566,30.68940041,27.82776068,1.203855999,0.173378289,6.644882544,0.231270715,6.999676351,1.87756878,1.566787143,0.166509531,,0.925563864,0.139682619,,0.52753245,,17.85046724,0.93419002,,44.47053382,20.87379,23.11087424,3.115778027,2.623275422,29.99074036,0.668594403,0.318059714,1.041401145,0.04702264,1.785225474,5.86281024,44.7,6.731395768,3.400631327,0.111044032,7.952743736,0.017702706,0.187042622,5.090483341,3.90371304,0.099376278,0.11352208,36.51522989,0.647410011,0.559819699,1.454681967,0.21180607,2.470598454,6.427067495,22.88732797,6.319062083,13.60858974,,0.693791245,42.18486345,1.282846417,0.196394691,2.203872939,1.693012704,5.081384153,1.534271796,1.574868034,2.485566316,0.142545755,13.11370871,,0.842207742,,1.255652004,,0.10959253,0.192031462,7.281535115,0.126780945,21.38473116,43.87937411,1.644739547,13.93954882,0.036261294,0.064080808,0.980216487,43.98435137,52,0.204651684,,47.37955654,27.88383874,3.520421417,5.393165535,,6.554796477,3.076430611,1.982253196,,0.835249302,7.285428708,0.123098076,10.47464821,0,16.43046769,0.747630712,1.111306207,1.458222094,30.5723617,6.357063545,4.863679179,3.613717291,1.977230109,0.06283146,0.473920912,2.210691809,0.025785032,0.403967486,36,0.481296806,0.118254246,1.177397269,48.79949531,0.02,,0.500288947,,0.501116248,5.01059322,4.638516816,2.506411052,9.426803201,15.11025956,45.68765221,0.926191777,,7.395629183,0.18169858,,0.035707076,1.921721494,2.496701747,0.8,3.689041279,0.048599595,0.133282183,3.921660755,,0.838755953,2.434398044,0.473920912,0.501116248,7.721411474,2.750740293,3.761685035,5.241639585,0.11719444,0.163714063,0.716183762,2.531929732,10.53905775,43.07916264,0.484347308,3.245037411,3.359597465,,13.81508054,0.254248276,2.108336891,6.770066508,0.566392533,,0.082500387,5.348559732,0.191071643,0.401433535
2002,18.8,0.004561395,0.270376746,0.390081273,11.26046872,2.693061013,28.31648531,10.88212438,1.960405046,,12.5,,36.56,4.999713678,0.118228412,46.33,0.702945595,0.200992598,0.139920289,9.08,18.05072089,18,2.648267914,8.950971315,5.684251214,52.03159737,3.117192947,9.149425086,27.83632242,15.32987986,1.675802584,3.385922351,0.128537117,61.59329927,18.19417192,61.4,,22.1,4.595704331,0.497929361,0.360871584,0.092790702,0.157249517,4.6,0.554869675,3.518757175,19.89485113,11.82229681,3.770585038,,,28.32,23.93,48.82,0.486971705,18.42489277,64.25,6.823725733,1.59164126,4.4049903,2.847867804,8.993587818,5.155372985,23.05751932,4.260796915,2.719999715,35.19146552,0.227090138,20.39,41.52,0.072402262,35.14328399,0.525203206,62.43,6.1526497,30.18,53.29922183,5.570099705,1.939530106,56.48,1.58787563,0.830284034,23.67023975,0.402022749,1.796779883,1.022993234,0.321197997,14.67,14.75884055,44.15478903,3.39174627,31.19229426,,45.22569939,43.08238303,2.597402597,0.395052416,17.76,0.893432988,16.67,4.514161862,3.681174232,0.714071848,1.432482929,2.134135733,0.349689794,,1.537875582,,25.85,4.626175115,0.5,79.12,17.76459906,28.04,6.1,6.025532412,46.59420112,1.674770995,1.207773885,2.99926518,0.226983238,2.5,21.15238176,59.4,10.24896793,8.344575637,0.267899241,7,0.032713307,2.244418222,14.64183577,8.887349945,0.236191173,0.258451655,59.47071067,1.050422706,1.60281996,3.469199261,1.083943137,5.912992725,17.69,39.84,21.94,25.17188016,,2.373253192,48.04711717,3.787242799,0.339720155,5.347765169,3.757208895,11.9,2.335444575,3.766244053,17.33,0.227045578,28.92,0.000426494,2.816710081,,2.039572603,,0.259612611,0.363229415,10.25262467,0.215094727,32.33820434,59.05719689,2.633699769,22.38979742,0.127152469,0.320461976,1.714729584,61.29,72.84,0.31295606,,59.08075328,41.52482604,6.873396039,8.61556704,2.577426737,8.518077815,8.96694917,4.332275746,20.24393947,1.321656935,21.15,0.363542778,17.54764757,0,19.37,1.794969598,3.100092235,3.996478139,44.71575125,8.200216486,10.22612893,6.58,4.128271818,0.292784719,1.462545237,6.38470502,0.439477639,1.006454537,47,0.501919843,0.176198957,1.9,50.83483994,0.115614213,,0.827518247,,0.829108637,8.945160131,7.580665169,4.161568745,40.14,27.83888542,70.57,1.816203807,,14.30417083,2.093101019,,0.166069665,4.46079753,6.590833094,1,7.531250335,0.055462827,0.302132016,8.91296822,0,2.813341422,2.907297316,1.462545237,0.829108637,21.99867548,5.252887295,11.38,,0.222484414,0.384093505,1.873885116,6.005466431,11.4194702,58.78540388,1.081939742,5.54959488,4.910446327,18.88574127,27.49443238,1.854999236,3.510038711,10.57978773,2.244832676,,0.518796032,6.710322437,0.477750907,1.1
2004,23,0.10580903,0.464814618,2.420387798,26.83795439,7.006812461,30.13129617,16.03668411,4.899008571,,24.26654372,,54.28,,0.349060462,53.86,1.182540965,0.400295285,0.199036334,18.13,21.45868051,22,15.46897162,,9.8,60.99086701,4.439924601,19.07367227,49.8,29.71560414,3.156984196,3.304889253,0.223401395,65.95596346,29.15044423,67.8,,28.17791012,7.3,0.849282415,0.976075415,0.196208375,1.07750493,9.118690303,1.327327178,5.31883207,20.79230671,16.89119229,8.407984759,,,33.83,35.5,64.73,0.781317175,30.31961309,80.93,8.865553461,4.634475088,6.885265393,4.217151396,12.59696421,10.97617698,32.35908587,4.834442638,11.92,47.48458595,,44.01,53.2,0.155334521,46.83954355,1.053189587,72.39,7.412943485,39.15,66.53359947,11.01786731,2.9790698,65.61,3.886221354,1.716797704,32.88608261,0.508819332,3.308003478,1.808142203,0.843930285,21.42,19.57062058,56.09901476,5.1,36.16178784,,55.08836368,56.39988039,5.6,0.914567047,30.91,5.401261908,27.74,7.414439744,6.144099038,1.70018887,3.562512176,2.600285876,0.763281566,,1.976136492,,36.99,7.49,0.9,83.88,22.77048553,33.24,10,11.65874137,62.39392963,2.650394657,3.023528042,5.090385307,0.300436644,3.5,24.73767754,72.7,22.92711204,13.84810843,0.36143449,9,0.031011185,3.532838162,21.39521236,14.40238707,0.5546596,0.663063491,64.00744814,1.44615998,2.919588033,5.850364639,2.175524339,10.38294991,31.23,65.88,38.58,31.48409738,,11.60793477,52.49019668,10.62939084,0.525353655,6.588254875,8.351298094,14.1,3.599776814,6.34087366,24.44,0.43281964,34.62,0.024337392,7.416945667,25.3500686,,,0.679447835,0.481470438,13.68908859,0.347505335,42.25226563,64.87424722,3.804715615,30.29804621,0.189933734,1.286137641,2.320664609,68.52,77.69,0.449843651,,61.84762781,50.52910154,6.75885217,12.14887498,6.164320985,11.14086254,14.1,5.243628452,26.97033263,1.507912772,32.53,0.989968973,22.13073823,0,31.78,3.452438431,4.400904826,5.174474906,54.97633483,17.88453743,20.70164785,15,12.8593889,0.430854243,2.184376036,10.234533,0.791561615,4.38602398,62,0.649672673,0.203007681,3.2,50.56634304,1.053454744,23.5,1.503376167,,1.506041597,12.62351396,13.32285269,6.076047814,52.89,40.81,83.89,3.228685073,,24.27213922,4.321593778,,0.360920107,6.972645946,12.94057625,1.5,10.67730332,0.077479907,0.754053983,14.44717799,,7.452944206,3.952373895,2.184376036,1.506041597,27.02427008,8.528817752,14.58,,0.877574971,0.71997068,3.489477881,9.946611326,17.06309834,64.75825648,2.593725421,7.371165842,8.404469592,,27.37700879,7.642408528,4.746602619,14.17277668,3.07552941,,0.881222989,8.425118683,2.013549532,2.1
2006,28,2.107123645,1.5,9.609991316,48.936847,11.65464792,52,20.9272021,5.631787777,,30,66,63.6,11.99217733,0.65759259,59.72,1.537854346,0.632707564,1,27.09,28.24395243,26,25.12238569,16.2,24,69.89965516,6.200671255,28.17838018,55.3,42.18634916,4.518317258,4.289932975,0.311159173,72.4,40.65876375,75.7,,34.49775117,10.52315262,1.524900791,2.028744791,0.29605361,2.007990079,15.34167454,2.2,6.808911008,25.1,22.34485257,11.15960131,,44.5,35.83,47.93,72.16,1.270041159,39.3981743,86.65,14.84492837,7.375984956,10.1739724,5.783498059,16.61782757,15.27049928,38.0834867,7.2,13.66,54.93650079,,50.37,63.51,0.310592657,54.55750152,1.891137518,79.66,9.6000384,46.87,69.35944512,12.75033925,5.489200803,68.82,7.526876845,2.723175973,45.29864751,0.637492123,5.237691158,2.057196705,1.279193596,32.25,21.39599117,59.36168727,6.5,43.851443,,61.47318205,60.8,7.8,1.557895614,37.98,6.796000481,47.06,10.57053088,8.902186815,2.93174836,5.588547534,4.764813134,1.505880081,,2.805499865,,54.82,8.76,0.952344244,89.51,27.88107446,37.99,16.4,13.86710879,68.68527032,3.268369051,3.6,12.306907,0.46835672,4.5,38.5,78.1,28.79119795,20.1969995,1.169893428,15,,4.301051789,24.5,20.75263406,1.11724541,1.135463094,64.21416136,2.537566129,4.587786344,8.52514123,2.979708187,15.13908924,43.9,72.51,53.63,46.4,,19.77119157,61.47603971,19.62064771,0.607552239,11.03635278,11.79240226,19.52,3.795590214,9.228078054,28.62,0.729627281,40.41,0.182048331,9.912249749,28.9,,,0.842954488,0.979661253,16.7,0.42513749,51.63798899,69.27045383,4.398870647,33.51571468,0.294033977,5.545036083,2.805573063,83.7,82.55,1.141389164,,69,56.60755682,8.299716673,14.27831018,6.5,17.34956617,20.7,5.740586325,,1.754487261,44.58,2.477131325,25.44241821,0,38.01,7.962073884,18.41,6.498386173,60.42210072,25.10796425,28.97411271,24.66,18.02327746,,2.983348306,19.45955435,,5.611738652,59,1.646347989,0.227669467,5.5,50.20865936,1.100216368,27.2,2.720841374,,2.724794194,15.31549251,14.18201978,9.499626942,56.08,54.01,87.76,3.696538789,,34.95197117,7.832551569,,0.581045764,10.3024293,17.8307096,2,17.16071472,3.772406207,1.319573118,20.89217131,0.5,9.810043372,5.853944095,2.983348306,2.724794194,30.00374858,12.98640865,18.24,,1.3,2.529363038,4.506124564,14.08811793,29.4,68.93119327,6.388321967,12,15.22471148,,27.33261054,17.25456172,5.850585059,17.58107611,4.469173873,,1.247824049,7.607139675,4.159913394,2.4
2008,52,1.84,1.9,23.86,70.04,18.59353118,63,28.11262348,6.21,,38,71.67,72.87,17.08,0.81,66,1.85,0.92,2.5,39.67,51.95,31.54,34.66,23,26.3,82.3,12.5,33.83,61.4,46,6.55,6.25,1,76.7,50.4833147,79.2,,37.3,22.6,1.9,3.4,0.44,4.287509903,25.6,3,14,32.29,27.72404741,12.94,,61,42.31,62.97,78,2.26,41.16,85.02,20.82,10.18,19.26013788,8.515810292,25.25356621,24.12924842,47.35904473,18.8,18.01,64.84360952,0.47,59.6,70.58,0.45,64.20183012,2.989970615,83.67,13,70.68,75.57,14.49,7.5,78.39,10.01,4.27,58,0.92,6.88,2.354888711,1.82,38.2,23.18,62.82,8.3,48.41870215,18.2,68.9804592,66.7,9.6,2.527283286,44.24,7.6,61,17.02652925,14.14163501,4.242521774,7.110425343,7.917479385,2.733550552,,4.38,,65.34,12.02,1,91,59.39,44.53,23.6,23,75.4,11,5.2,15.7,0.51,7,49.2,81,42,25.96640769,3.55,22.53,0.53,9,32,26.50047906,2.122367034,1.869947827,70,5.8,6.881584929,13.7263602,3.58,25.1973721,55.22,82.23,63.41,49.24,,33.1,67.25,23.39,1.65,23.2,18.73683788,21.71,4.6,14.93111304,46.04,1.57,50.08,0.22,14.96713748,32.9,9.8,,1.56,1.87,21.81,0.7,55.8,74.26650299,5.329003772,34.51,0.7,8,5.3,87.42,90.57,1.73,,72.03,63.91264904,20,18.77267122,7,33.82,30.57,6.22,,1.15,53.13,3.698280132,38,0,44.13,14.27,24.358,8.69695568,67.6511373,33.87,44.3,32.42,26.83,4.5,4.416823408,36,,7.12,69,3,0.25,10.08,54.52,1.142687372,35.6,3.912949364,,3.91717389,19.97365678,15.48,21.06,66.05,58,90,6.85,,40.44,14,,1.19,19.5018491,26.64793977,2.4,18.2,8.78,1.75,26.66732789,1.5,14.85277889,8.110769944,4.416823408,3.91717389,34.8,27.53,34.37,15,1.9,7.9,11,23.49378321,39.3,74,9.080114523,21,25.88,,27.36177742,23.92,7.269119923,23.06702536,5.031615316,,6.89,8.43,5.55,3.5
2010,62,4,2.8,45,81,24.5357799,68,45,25,,47,76,75.17,46,1,75,3.13,2.4,3.7,46.23,55,43,42.75,31.8,28.2,84.21,22.4,40.65,65.1,53,13.6,6,2,80.3,58.35016696,83.9,,45,34.3,2.7,4.3,0.72,5,36.5,5.1,30,36.5,35.74316613,15.9,,66,52.99,68.82,82,6.5,47.45,88.72,31.4,12.5,28.95757162,12.8497122,34.23083831,35.8844807,56.11911733,29.03,21.6,71.03672239,0.61,65.8,74.1,0.75,70.64052739,6.224176842,86.89,20,77.28,75.2,20,13,85,26.9,7.8,65,1,9.2,2.45,6,44.4,27,63,10.5,54.04,29.9,72.28041398,72,11.09,4.929978865,56.55,8.37,65,24.94079166,20.62683645,6.542364818,9.544382103,10.92,5.023491846,,7.5,,69.85,15.9,2.5,93.39,67.5,53.68,27.67,27.2,78.21,31.6,7.2,16.3,1.26,9.07,63,83.7,61.4,34.19612572,7,43.68,2.3,14,43.3,34.70962205,4.271479294,3.25984344,80,12,10.95922964,20.16898745,3.86,36.03289925,62.12,90.62,68.42,55.198,,52,75,32.3,1.7,26.53,24.8526292,31.05,7,21.89184648,51.9,2,63,0.25,20.61891636,37.5,10.2,,4.17,4,28.33,2.26,56.3,72.54048364,11.6,42,0.83,11.5,10,90.72,93.39,7.93,,80.46,67.62063433,35.8278,24.40037517,8,40.1,34.77,25,,1.28,62.32,6.291068417,45.3,0,53.3,19.8,37.4,12.98691854,70.95460509,49,69,39.93,43,8,7.206545642,41,16.7,8,71,5,0.58,15.9,,,40.9,7.151372933,,7.154989899,25.95945842,18.75,31.59,75.71,70,90,11.04,,41,20.7,,1.7,29.31896116,38.16688634,3,22.4,11.55,3,34.98117776,3,20.41158945,16,7.206545642,7.154989899,48.5,36.8,39.82,25,2.9,12.5,23.3,33.88045575,46.4,71.69,15.9,33.7,37.37,37,31.22,30.65,8,28.85404589,7,,12.35,24,10,6.4
