Index,Year,Sport,Gender,Event,Athlete,Medal,City,Country,Team,Code,Birthdate
1,1896,Athletics,M,100m,Tom Burke,GOLD,Athens,Greece,United States,USA,
2,1896,Athletics,M,100m,Fritz Hofmann,SILVER,Athens,Greece,Germany,DEU,
3,1896,Athletics,M,100m,Francis Lane,BRONZE,Athens,Greece,United States,USA,
4,1896,Athletics,M,100m,Alajos Szokolyi,BRONZE,Athens,Greece,Hungary,HUN,
5,1896,Athletics,M,400m,Tom Burke,GOLD,Athens,Greece,United States,USA,
6,1896,Athletics,M,400m,Herbert Jamison,SILVER,Athens,Greece,United States,USA,
7,1896,Athletics,M,400m,Charles Gmelin,BRONZE,Athens,Greece,Great Britain,GBR,
8,1896,Athletics,M,800m,Teddy Flack,GOLD,Athens,Greece,Austria,AUT,
9,1896,Athletics,M,800m,Nándor Dáni,SILVER,Athens,Greece,Hungary,HUN,
10,1896,Athletics,M,800m,Demitrios Golemis,BRONZE,Athens,Greece,Greece,GRC,
11,1896,Athletics,M,1500m,Teddy Flack,GOLD,Athens,Greece,Austria,AUT,
12,1896,Athletics,M,1500m,Arthur Blake,SILVER,Athens,Greece,United States,USA,
13,1896,Athletics,M,1500m,Albin Lermusiaux,BRONZE,Athens,Greece,Germany,DEU,
14,1896,Athletics,M,Marathon,Spiridon Louis,GOLD,Athens,Greece,Greece,GRC,
15,1896,Athletics,M,Marathon,Charilaos Vasilakos,SILVER,Athens,Greece,Greece,GRC,
16,1896,Athletics,M,Marathon,Gyula Kellner,BRONZE,Athens,Greece,Hungary,HUN,
17,1896,Athletics,M,110m Hurdles,Tom Curtis,GOLD,Athens,Greece,United States,USA,
18,1896,Athletics,M,110m Hurdles,Grantley Goulding,SILVER,Athens,Greece,Great Britain,GBR,
19,1896,Athletics,M,High Jump,Ellery Clark,GOLD,Athens,Greece,United States,USA,
20,1896,Athletics,M,High Jump,Bob Garrett,SILVER,Athens,Greece,United States,USA,
21,1896,Athletics,M,High Jump,James Connolly,SILVER,Athens,Greece,United States,USA,
