Sort,Year,Sport,Gender,Event,Athlete,Medal,City,Country,Team,Code,Birthdate
1,1924,Bobsleigh,M,4-Man Bobsled,Alfred Neveu,GOLD,Chamonix,France,Switzerland,CHE,
2,1924,Bobsleigh,M,4-Man Bobsled,Eduard Scherrer,GOLD,Chamonix,France,Switzerland,CHE,
3,1924,Bobsleigh,M,4-Man Bobsled,Alfred Schläppi,GOLD,Chamonix,France,Switzerland,CHE,
4,1924,Bobsleigh,M,4-Man Bobsled,Heinrich Schläppi,GOLD,Chamonix,France,Switzerland,CHE,
5,1924,Bobsleigh,M,4-Man Bobsled,Thomas Arnold,SILVER,Chamonix,France,Great Britain,GBR,
6,1924,Bobsleigh,M,4-Man Bobsled,Ralph Broome,SILVER,Chamonix,France,Great Britain,GBR,
7,1924,Bobsleigh,M,4-Man Bobsled,Alexander Richardson,SILVER,Chamonix,France,Great Britain,GBR,
8,1924,Bobsleigh,M,4-Man Bobsled,Rodney Soher,SILVER,Chamonix,France,Great Britain,GBR,
9,1924,Bobsleigh,M,4-Man Bobsled,René Mortiaux,BRONZE,Chamonix,France,Belgium,BEL,
10,1924,Bobsleigh,M,4-Man Bobsled,Charles Mulder,BRONZE,Chamonix,France,Belgium,BEL,
11,1924,Bobsleigh,M,4-Man Bobsled,Paul van den Broeck,BRONZE,Chamonix,France,Belgium,BEL,
12,1924,Bobsleigh,M,4-Man Bobsled,Victor Verschueren,BRONZE,Chamonix,France,Belgium,BEL,
13,1924,Bobsleigh,M,4-Man Bobsled,Henri Willems,BRONZE,Chamonix,France,Belgium,BEL,
14,1924,Cross-Country Skiing,M,18km,Thorleif Haug,GOLD,Chamonix,France,Norway,NOR,
15,1924,Cross-Country Skiing,M,18km,Johan Grøttumsbråten,SILVER,Chamonix,France,Norway,NOR,
16,1924,Cross-Country Skiing,M,18km,Tapani Niku,BRONZE,Chamonix,France,Finland,FIN,
17,1924,Cross-Country Skiing,M,50km,Thorleif Haug,GOLD,Chamonix,France,Norway,NOR,
18,1924,Cross-Country Skiing,M,50km,Thoralf Strømstad,SILVER,Chamonix,France,Norway,NOR,
19,1924,Cross-Country Skiing,M,50km,Johan Grøttumsbråten,BRONZE,Chamonix,France,Norway,NOR,
20,1924,Curling,M,Curling,Willie Jackson,GOLD,Chamonix,France,Great Britain,GBR,
21,1924,Curling,M,Curling,Robin Welsh,GOLD,Chamonix,France,Great Britain,GBR,
22,1924,Curling,M,Curling,Tom Murray,GOLD,Chamonix,France,Great Britain,GBR,
23,1924,Curling,M,Curling,Laurence Jackson,GOLD,Chamonix,France,Great Britain,GBR,
24,1924,Curling,M,Curling,Carl Wilhelm Petersen,SILVER,Chamonix,France,Sweden,SWE,
25,1924,Curling,M,Curling,Carl August Kronlund,SILVER,Chamonix,France,Sweden,SWE,
26,1924,Curling,M,Curling,Johan Petter Ahien,SILVER,Chamonix,France,Sweden,SWE,
27,1924,Curling,M,Curling,Ture Odlund,SILVER,Chamonix,France,Sweden,SWE,
28,1924,Curling,M,Curling,Carl Axel Pettersson,SILVER,Chamonix,France,Sweden,SWE,
29,1924,Curling,M,Curling,Erik Severin,SILVER,Chamonix,France,Sweden,SWE,
30,1924,Curling,M,Curling,Karl Wahlberg,SILVER,Chamonix,France,Sweden,SWE,
31,1924,Curling,M,Curling,Victor Wetterstrom,SILVER,Chamonix,France,Sweden,SWE,
32,1924,Curling,M,Curling,Henri Cournollet,BRONZE,Chamonix,France,France,FRA,
33,1924,Curling,M,Curling,Georges Andre,BRONZE,Chamonix,France,France,FRA,
34,1924,Curling,M,Curling,Armand Isaac-Benedic,BRONZE,Chamonix,France,France,FRA,
35,1924,Curling,M,Curling,Pierre Canivet,BRONZE,Chamonix,France,France,FRA,
36,1924,Figure Skating,M,Individual,Gillis Gråfström,GOLD,Chamonix,France,Sweden,SWE,
37,1924,Figure Skating,M,Individual,Willy Böckl,SILVER,Chamonix,France,Austria,AUT,
38,1924,Figure Skating,M,Individual,Georges Gautschi,BRONZE,Chamonix,France,Switzerland,CHE,
39,1924,Figure Skating,F,Individual,Herma Plank-Szabó,GOLD,Chamonix,France,Austria,AUT,
40,1924,Figure Skating,F,Individual,Beatrix Loughran,SILVER,Chamonix,France,United States,USA,
41,1924,Figure Skating,F,Individual,Ethel Muckelt,BRONZE,Chamonix,France,Great Britain,GBR,
42,1924,Figure Skating,M,Pairs,Alfred Berger,GOLD,Chamonix,France,Austria,AUT,
43,1924,Figure Skating,F,Pairs,Helene Engelmann,GOLD,Chamonix,France,Austria,AUT,
44,1924,Figure Skating,M,Pairs,Walter Jakobsson,SILVER,Chamonix,France,Finland,FIN,
45,1924,Figure Skating,F,Pairs,Ludowika Jakobsson,SILVER,Chamonix,France,Finland,FIN,
46,1924,Figure Skating,M,Pairs,Pierre Brunet,BRONZE,Chamonix,France,France,FRA,
47,1924,Figure Skating,F,Pairs,Andrée Brunet-Joly,BRONZE,Chamonix,France,France,FRA,
48,1924,Ice Hockey,M,Ice Hockey,Jack Cameron,GOLD,Chamonix,France,Canada,CAN,
49,1924,Ice Hockey,M,Ice Hockey,Ernie Collett,GOLD,Chamonix,France,Canada,CAN,
50,1924,Ice Hockey,M,Ice Hockey,Bert McCaffrey,GOLD,Chamonix,France,Canada,CAN,
51,1924,Ice Hockey,M,Ice Hockey,Harold McMunn,GOLD,Chamonix,France,Canada,CAN,
52,1924,Ice Hockey,M,Ice Hockey,Duncan Munro,GOLD,Chamonix,France,Canada,CAN,
53,1924,Ice Hockey,M,Ice Hockey,Beattie Ramsay,GOLD,Chamonix,France,Canada,CAN,
54,1924,Ice Hockey,M,Ice Hockey,Cyril Slater,GOLD,Chamonix,France,Canada,CAN,
55,1924,Ice Hockey,M,Ice Hockey,Reginald Smith,GOLD,Chamonix,France,Canada,CAN,
56,1924,Ice Hockey,M,Ice Hockey,Harry Watson,GOLD,Chamonix,France,Canada,CAN,
57,1924,Ice Hockey,M,Ice Hockey,John Lyons,SILVER,Chamonix,France,United States,USA,
58,1924,Ice Hockey,M,Ice Hockey,Justin McCarthy,SILVER,Chamonix,France,United States,USA,
59,1924,Ice Hockey,M,Ice Hockey,Willard Rice,SILVER,Chamonix,France,United States,USA,
60,1924,Ice Hockey,M,Ice Hockey,Irving Small,SILVER,Chamonix,France,United States,USA,
61,1924,Ice Hockey,M,Ice Hockey,Francis Synott,SILVER,Chamonix,France,United States,USA,
62,1924,Ice Hockey,M,Ice Hockey,Clarence Abel,SILVER,Chamonix,France,United States,USA,
63,1924,Ice Hockey,M,Ice Hockey,Herb Drury,SILVER,Chamonix,France,United States,USA,
64,1924,Ice Hockey,M,Ice Hockey,Alphonse Lacroix,SILVER,Chamonix,France,United States,USA,
65,1924,Ice Hockey,M,Ice Hockey,John Langley,SILVER,Chamonix,France,United States,USA,
66,1924,Ice Hockey,M,Ice Hockey,Edward Pitblado,BRONZE,Chamonix,France,Great Britain,GBR,
67,1924,Ice Hockey,M,Ice Hockey,Blane Sexton,BRONZE,Chamonix,France,Great Britain,GBR,
68,1924,Ice Hockey,M,Ice Hockey,William Anderson,BRONZE,Chamonix,France,Great Britain,GBR,
69,1924,Ice Hockey,M,Ice Hockey,Lorne Carr-Harris,BRONZE,Chamonix,France,Great Britain,GBR,
70,1924,Ice Hockey,M,Ice Hockey,Colin Carruthers,BRONZE,Chamonix,France,Great Britain,GBR,
71,1924,Ice Hockey,M,Ice Hockey,Eric Carruthers,BRONZE,Chamonix,France,Great Britain,GBR,
72,1924,Ice Hockey,M,Ice Hockey,Guy Clarkson,BRONZE,Chamonix,France,Great Britain,GBR,
73,1924,Ice Hockey,M,Ice Hockey,Ross Cuthbert,BRONZE,Chamonix,France,Great Britain,GBR,
74,1924,Ice Hockey,M,Ice Hockey,George Holmes,BRONZE,Chamonix,France,Great Britain,GBR,
75,1924,Ice Hockey,M,Ice Hockey,Hamilton Jukes,BRONZE,Chamonix,France,Great Britain,GBR,
76,1924,Military Ski Patrol,M,Military Ski Patrol,Alfred Aufdenblatten,GOLD,Chamonix,France,Switzerland,CHE,
77,1924,Military Ski Patrol,M,Military Ski Patrol,Alfons Julen,GOLD,Chamonix,France,Switzerland,CHE,
78,1924,Military Ski Patrol,M,Military Ski Patrol,Anton Julen,GOLD,Chamonix,France,Switzerland,CHE,
79,1924,Military Ski Patrol,M,Military Ski Patrol,Denis Vaucher,GOLD,Chamonix,France,Switzerland,CHE,
80,1924,Military Ski Patrol,M,Military Ski Patrol,August Eskelinen,SILVER,Chamonix,France,Finland,FIN,
81,1924,Military Ski Patrol,M,Military Ski Patrol,Heikki Hirvonen,SILVER,Chamonix,France,Finland,FIN,
82,1924,Military Ski Patrol,M,Military Ski Patrol,Ville Mattila,SILVER,Chamonix,France,Finland,FIN,
83,1924,Military Ski Patrol,M,Military Ski Patrol,Vaino Bremer,SILVER,Chamonix,France,Finland,FIN,
84,1924,Military Ski Patrol,M,Military Ski Patrol,Adrien Vandelle,BRONZE,Chamonix,France,France,FRA,
85,1924,Military Ski Patrol,M,Military Ski Patrol,Camille Mandrillon,BRONZE,Chamonix,France,France,FRA,
86,1924,Military Ski Patrol,M,Military Ski Patrol,Georges Berthet,BRONZE,Chamonix,France,France,FRA,
87,1924,Military Ski Patrol,M,Military Ski Patrol,Maurice Mandrillon,BRONZE,Chamonix,France,France,FRA,
88,1924,Nordic Combined,M,Individual (18km+Jump),Thorleif Haug,GOLD,Chamonix,France,Norway,NOR,
89,1924,Nordic Combined,M,Individual (18km+Jump),Thoralf Strømstad,SILVER,Chamonix,France,Norway,NOR,
90,1924,Nordic Combined,M,Individual (18km+Jump),Johan Grøttumsbråten,BRONZE,Chamonix,France,Norway,NOR,
91,1924,Ski Jumping,M,Normal Hill,Jacob Thams,GOLD,Chamonix,France,Norway,NOR,
92,1924,Ski Jumping,M,Normal Hill,Narve Bonna,SILVER,Chamonix,France,Norway,NOR,
93,1924,Ski Jumping,M,Normal Hill,Anders Haugen,BRONZE,Chamonix,France,United States,USA,
94,1924,Speed Skating,M,500m,Charles Jewtraw,GOLD,Chamonix,France,United States,USA,
95,1924,Speed Skating,M,500m,Oskar Olsen,SILVER,Chamonix,France,Norway,NOR,
96,1924,Speed Skating,M,500m,Roald Larsen,BRONZE,Chamonix,France,Norway,NOR,
97,1924,Speed Skating,M,500m,Clas Thunberg,BRONZE,Chamonix,France,Finland,FIN,
98,1924,Speed Skating,M,1500m,Clas Thunberg,GOLD,Chamonix,France,Finland,FIN,
99,1924,Speed Skating,M,1500m,Roald Larsen,SILVER,Chamonix,France,Norway,NOR,
100,1924,Speed Skating,M,1500m,Sigurd Moen,BRONZE,Chamonix,France,Norway,NOR,
101,1924,Speed Skating,M,5000m,Clas Thunberg,GOLD,Chamonix,France,Finland,FIN,
102,1924,Speed Skating,M,5000m,Julius Skutnabb,SILVER,Chamonix,France,Finland,FIN,
103,1924,Speed Skating,M,5000m,Roald Larsen,BRONZE,Chamonix,France,Norway,NOR,
104,1924,Speed Skating,M,10000m,Julius Skutnabb,GOLD,Chamonix,France,Finland,FIN,
105,1924,Speed Skating,M,10000m,Clas Thunberg,SILVER,Chamonix,France,Finland,FIN,
106,1924,Speed Skating,M,10000m,Roald Larsen,BRONZE,Chamonix,France,Norway,NOR,
107,1924,Speed Skating,M,Allaround,Clas Thunberg,GOLD,Chamonix,France,Finland,FIN,
108,1924,Speed Skating,M,Allaround,Roald Larsen,SILVER,Chamonix,France,Norway,NOR,
109,1924,Speed Skating,M,Allaround,Julius Skutnabb,BRONZE,Chamonix,France,Finland,FIN,
110,1928,Bobsleigh,M,5-Man Bobsled,Billy Fiske,GOLD,St. Moritz,Switzerland,United States,USA,
111,1928,Bobsleigh,M,5-Man Bobsled,Clifford Grey,GOLD,St. Moritz,Switzerland,United States,USA,
112,1928,Bobsleigh,M,5-Man Bobsled,Geoffrey Mason,GOLD,St. Moritz,Switzerland,United States,USA,
113,1928,Bobsleigh,M,5-Man Bobsled,Richard Parke,GOLD,St. Moritz,Switzerland,United States,USA,
114,1928,Bobsleigh,M,5-Man Bobsled,Nion Tucker,GOLD,St. Moritz,Switzerland,United States,USA,
115,1928,Bobsleigh,M,5-Man Bobsled,Jay O'Brien,SILVER,St. Moritz,Switzerland,United States,USA,
116,1928,Bobsleigh,M,5-Man Bobsled,Lyman Hine,SILVER,St. Moritz,Switzerland,United States,USA,
