Year,ABW,AFG,AGO,ALB,AND,ARB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CEB,CHE,CHI,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CSS,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,EAP,EAR,EAS,ECA,ECS,ECU,EGY,EMU,ERI,ESP,EST,ETH,EUU,FCS,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HIC,HKG,HND,HPC,HRV,HTI,HUN,IBD,IBT,IDA,IDB,IDN,IDX,IMN,IND,INX,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAC,LAO,LBN,LBR,LBY,LCA,LCN,LDC,LIC,LIE,LKA,LMC,LMY,LSO,LTE,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEA,MEX,MHL,MIC,MKD,MLI,MLT,MMR,MNA,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAC,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OED,OMN,OSS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRE,PRI,PRK,PRT,PRY,PSE,PSS,PST,PYF,QAT,ROU,RUS,RWA,SAS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSA,SSD,SSF,SST,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TEA,TEC,TGO,THA,TJK,TKM,TLA,TLS,TMN,TON,TSA,TSS,TTO,TUN,TUR,TUV,TZA,UGA,UKR,UMC,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WLD,WSM,XKX,YEM,ZAF,ZMB,ZWE
1960,,,,,,,,,,,,13.1,24.2,,,16.3,,,,,,,,,,,,,,,,,,10,,21.2,,10.8,,,,,,4.1,,,5.2,,,,,,,,,,22.8,,,,,,,,,,,,7.2,,,,,24.4,,18.2,,,,11.3,,,,,,,,,,,,,,,,,,,,29.6,,,,,,,,,,3.5,,,10.4,,7.3,,,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,6.9,,,12.4,,,,,,,,,,9.9,,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,,,,,,,,,,,,,,
1964,,,,,,,,,,,,17.8,24.1,,,15.5,,,,,,,,,,,,,,,,,,10.8,,19,,3.9,,,,,,6.3,,,5.5,,,,,,,,,,23.6,,,,,,,,,,,,6.4,,,,,23.9,,17.2,,,,12,,,,,,,,3.8,,,,,,,,,,,,33.6,,,,,,,,,,2.5,,,11.8,,6.5,,,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,8,,,10.4,,,,,,,,,,10.6,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,
1968,,,,,,,,,,,,15.6,23.7,,,17.1,,,,,,,,,,,,,,,,,,12.2,,19.4,,11.8,,,,,,5.6,,,4.3,,,,,,,,,,22.8,,,,,,,,,,,,5.6,,,,,25.3,,17.5,,,,9.9,,,,,,,,4.3,,,,,,,,,,,,38.1,,,,,,,,,,3,,,9.7,,6.3,,,20.4,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,8,8.8,,,12.3,,,,,,,,,,12.5,,,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,,,,,,,,,,,,,,
1972,,,,,,,,,,,,15,25.5,,,17,,,,,,,,,,,,,,,,,,14.2,,21.6,,7.3,,,,,,5,,,4.9,,,,,,,,,,26.3,,,,,,,,,,,,5.7,,,,,26,,18,,,,8.1,,,,,,,,3.1,,,,,,,,,,,,40.4,,,,,,,,,,3.7,,,10.7,,6.7,,,22.3,,,,,,,,,,,,,,,,,,,,,,,,,15.5,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,10.1,9.7,,,11.2,,,,,,,,,,13.3,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,,,,,,,,,,,,,,
1976,,,,,,,,,,,,12.6,24.4,,,17.9,,,,,,,,,,,,,,,,,,14.2,,23.6,,7.7,,,,,,4.4,,,8.7,,,,,,,,,,25.9,,,,,,,,,,,,5.1,,,,,26.7,,17.3,,,,8.2,,,,,,,,3.1,,,,,,,,,,,,44.6,,,,,,,,,,6.8,,,10.9,10.4,6.3,,,22.1,,,,,,,,,,,,,,,,,,,,,,,,,14.8,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,11.2,11.6,,,11.5,,,,,,,,,,13.2,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,,,,,,,,,,,,,,
1980,,,,,,,,,,,,12.3,26.9,,,23.4,,,,,,,,,,,,4.9,,,,,,15.1,,26.4,,6,,,,,,3.8,,,7.3,,,,,,,,,,33.9,,,,,,,,,,,,5.2,39.2,,,,26.1,,20.7,,,,9.2,,,,,,,,3.6,,,,,,,,,,,,49.3,,,,,,,,,,7.8,,,12.8,8.4,7.9,,,21.1,,,,,,,,,,,,,,,,,,,,,,,,36.8,13.8,34.4,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,11.4,13.1,,,12.4,,,,,,,,,,13.7,,,,9,,,,,,,,37.1,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,,,,,,,,,,,,,,
1984,,,,,,,,,,,,12.2,27.6,,,24.6,,,,,,,,,,,,4.9,,,,,,14.3,,25,,7.6,,,,,,5.2,,,7.2,,,,,,,,,,29.8,,,,,,,,,,,,7.4,33,,,,25.8,,23.3,,,,9.1,,,,,,,,4.1,,,,,,,,,,,,49.5,,,,,,,,,,7.9,,,21.2,7.6,8.3,,,23.3,,,,,,,,,,,,,,,,,,,,,,,,37.1,18.6,36,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,13.5,15,,,13.4,,,,,,,,,,15.2,,,,11.6,,,,,,,,33.6,,,,,,,,,,,,,,,,,,,,35.7,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,,,,,,,,,,,,,,
1988,,,,,,,,,,,,13.8,24.6,,,20.5,,,,,,,,,,,,4.6,,,,,,13.8,,22.2,,6.9,,,,,,3.4,,,8.5,,,,,,20.9,,,,26.3,,,,,,,,,,,,8.2,26.8,,,,28.5,,21.6,,,,8.8,,,,,,,,4.2,,,,,,,,,,,,43.7,,,,,,,,,,8.7,,,16.3,9.4,7.8,,,20.5,,,,,,,8.4,,,,,,,,,,,,,,,,,29.2,18.2,24.5,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,10.9,17.3,,,15.3,,,,,,,,,,13.5,,,,9,,,,,,,,27,,,,,,,,,,,,,,,,,,,,34.5,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,
1992,,,,,,,,,,,,13.3,22.6,,,18.7,,,,,,,,,,,,4.8,,,,,,13.2,,20.6,,5.8,,,,,,4,,,7,,,,,,20.7,16.3,,,21.9,,,,,,,,,,,,7.4,34.5,,,,28.6,,20.8,,,,8,,,,,,,,3.4,,,,,,,,,,,,40.4,,,,,,,,,,11.2,,,11.4,9.5,7.8,,,17.4,,,,,,,9.5,,,,,,,,,,,,,,,,,38,15,36.7,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,10.7,14.5,,,14.5,,,,,,,,,,16.2,,,,9.2,,,,,,,,33.1,,,,,,,,,,,,,,,,,,,16.8,31,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,,,,,,,,,
1994,,,,,,,,,,,,13.1,22.5,,,21,,,,,,,,,,,,4.9,,,,,,13,,21.3,,6.9,,,,,,4.5,,,6.7,,,,,,19.2,15.2,,,18.9,,,,,,,,,,,,8.2,43.6,,,,27.2,,21,,,,7.5,,,,,,,,3.4,,,,,,,,,,,,36.6,,,,,,,,,,11.9,,,10.2,10.1,7.7,,,16.8,,,,,,,11.5,,,,,,,,,,,,,,,,,49.9,18.8,42,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,10.4,12.4,,,14.6,,,,,,,,,,15.4,,,,7.9,,,,,,,,44.4,,,,,,,,,,,,,,,,,,,14.3,32.1,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,,,,,,,,,
