Country Code,ABW,AFG,AGO,ALB,AND,ARB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CEB,CHE,CHI,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CSS,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,EAP,EAR,EAS,ECA,ECS,ECU,EGY,EMU,ERI,ESP,EST,ETH,EUU,FCS,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HIC,HKG,HND,HPC,HRV,HTI,HUN,IBD,IBT,IDA,IDB,IDN,IDX,IMN,IND,INX,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAC,LAO,LBN,LBR,LBY,LCA,LCN,LDC,LIC,LIE,LKA,LMC,LMY,LSO,LTE,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEA,MEX,MHL,MIC,MKD,MLI,MLT,MMR,MNA,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAC,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OED,OMN,OSS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRE,PRI,PRK,PRT,PRY,PSE,PSS,PST,PYF,QAT,ROU,RUS,RWA,SAS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSA,SSD,SSF,SST,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TEA,TEC,TGO,THA,TJK,TKM,TLA,TLS,TMN,TON,TSA,TSS,TTO,TUN,TUR,TUV,TZA,UGA,UKR,UMC,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WLD,WSM,XKX,YEM,ZAF,ZMB,ZWE
1960,32.2459244,,8.5106379,68.54991068,,,,27.5207591,,62.31671833,51.54184765,,,,,,,,,,,,,,20.95875126,,,20.74408146,60.15779002,23.34494859,,,,,,40.48165192,,26.67450196,,,,,,,,117.3913078,,,,,33.92658452,45.13274176,,,,67.23044345,42.72300802,12.06140391,,,,,,,,5.842696415,,,19.88764131,,,,,57.60095221,,,31.18039983,,,,,63.70786603,,,,,,,56.57568156,38.01169647,,28.65362391,29.39958599,,,,,,,49.31034658,,,,,,,,,,,,,37.6443407,,,55.02762347,,64.26886561,,,,,,57.11111281,38.16689494,,,,,,,,,,,38.32976301,,,,,,,35.14211916,,29.27215155,,10.06864993,,,,,,21.35922318,,,,,,,,,,,,,,,,,27.03583065,,11.50943378,,,27.36077579,28.81355893,,,,,,,,28.35821033,,33.00970905,,,68.06039432,,30.44140172,,18.68131868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.87703327,9.427207408,53.08775556,,,,78.90466963,90.94972238,,,,,,,,,35.49884161,,69.72281386,,,,,,,45.2581025,,56.29629441,,22.81879113,53.24675319,,,,,,,30.34734945,,
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.72573857,,,,,,,,82.66219269,,,,23.22654334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.13043478,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2411686,,,,,,,,,,,,,5.112219527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.45736434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.77777872,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.58904214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.75396066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.93508023,,,,,100,,,,,,,,,
1972,42.64099216,,,,,,,,,,,,,,,,,113.2530168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.924623426,,,46.71532847,,,,58.09988021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.75961675,,,,,,,,,,,,,,,,,10.0467296,,24.9065993,,,,,,,,,25.64102651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.07182323,,,,,,,,,,,,,,,,,,,,,,55.56962218,,,,,,,,,,,,,,
1976,,,,,,,,,,,,55.23328821,,,,,,,,,,,,,,71.75573091,25.87412584,,,,,,,58.81596211,,,,,,,59.19117664,,,,,,,,,,,45.70957337,,,,,68.14621645,,,,,,,,,7.930607605,,,,,,,,72.47024252,20.3329378,,,,,,,,,,,,,,,62.09150327,,,,,55.09708821,,,,,,,,,,59.0285146,,43.57864276,,,,16.10576936,,46.24697514,49.53560489,,75.6790114,,56.40394207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3606549,,,,,,,,,,,,,,,,,,,,,,46.03773393,,,,8.151549976,,,54.37500079,,,,,41.29429677,,,,,,,,5.34351145,,,,,,,,46.3694287,,,,51.33418436,,,,,,,,,,,72.62872122,47.95918559,,,,,,,,,58.65771914,,,,,,18.80222761,,,,25.91792699,,,,,,,,61.03225708,,,,,,,,,21.40077863,,,,,
1980,,,,,,,16.80851084,35.86387313,,63.67041017,,57.21583332,54.12446071,,79.15058032,56.74676826,,,,,,73.34183531,,,30.42530049,76.4840196,26.28571429,36.39661607,67.2215122,,,,,64.62323947,,53.08952945,,37.21590937,,,70.85492607,,,28.57142753,33.17013634,33.06709468,32.03410442,,,,,,,,,,,,,,,,,,35.64705793,10.05434816,,,37.67313284,,,,,81.21546794,,58.82353199,,,,61.05442516,,,,,,,,,,,15.97765384,59.85401775,31.84931519,,56.48949308,19.86301361,,,69.26770546,69.72222328,,,,,46.14427583,,,,,,,,109.5794448,56.04395657,46.67630153,59.85185411,,59.64911861,,,,,,61.00628931,61.40724584,23.54312359,,,,,,,,,,54.07577417,,,,,,,,,,,,,,,,,36.35265613,45.49618204,,,,32.82828198,,,,,,98.07256575,,,,49.38423643,,,,,,25.87548598,42.38026142,69.43396322,,,51.45454407,,,,8.027523217,39.4308932,39.52020258,30.08849591,,,,,53.83141757,,58.1658293,27.25118434,,,,,,,,,,,,,54.82672966,,,46.5144257,,,,,,,,,37.5912421,,,,,,50.71598861,,67.32673202,27.80219696,,,65.50898295,87.24373099,,,,,,,,,40.13244932,24.62121307,54.60993096,,,,,,,66.53746639,,,,67.4391642,72.71468451,,,,,,,49.35064688,48.56786864,
1984,,,,,,,,,,,,59.44882028,57.26374838,,104.5378164,56.05589692,,,8.90642657,,,,,,,,,,,,,,,70.1434177,,,,41.65457203,,,,,70.83333379,,,,33.78378428,,,,,57.65957528,,57.32394474,,,80.02699117,,8.625730941,,,,,,,23.65308852,,,39.91354489,,,,,81.7558261,,66.95526621,,,,64.21768811,,102.0044492,,,,,,47.6190466,,,,,,,60.65773467,20.82379914,,,,89.74358655,,,,,,,,,,44.8460527,,,,,47.88937844,,,62.0558371,,,,,,,60.38575644,,,,,68.72180566,,,,,,,,,,,,,47.21825848,,,,,,,,,,,,,,,,,,,,,,,34.80392175,,52.92740042,,,,,,,,74.01273691,,,,,,,13.27849635,43.32909758,55.43175146,,,,,,46.44713844,,63.83265885,,,,,,,,,,,,,66.51884926,56.40394207,,,,,,,,,,,,,,,88.45144911,,,,15.35532984,,,,,,86.90205057,,,,,,37.40000153,,,,27.7215185,,,,,,,56.18131842,70.15706466,,,38.50931677,,,,,,,,,,36.51876896,
1988,,,,,,,,,,,,66.3563877,60.05747148,,,58.99513951,,,,,,,,,,,,50.7620137,80.8510661,,,,79.21928956,74.93472933,,57.83132627,,41.4893644,,47.3506217,,,,,,,40.29850932,,56.74931354,,,57.28274294,,59.21237606,,,80.63660213,,,,,,,,41.83673291,,,,47.81297029,,,,,84.12698434,,69.70149368,,,,68.28609921,,,,,,3.161397711,,52.72459268,79.80364529,,,65.51265215,,,60.25000095,,,,,91.24260174,,,,,,,,,,47.64543349,,,,63.29113848,51.94610655,68.51312106,,63.42412775,,,,,,,61.72839377,42.82147302,,,,,,,,,,,,,,,,,49.71014382,,,,,,,,,,42.82238695,,,,,32.45149801,,,,,,,36.77325307,,,55.49065519,,,,25.0287022,,,59.62910149,81.04325954,,,71.22207865,,,,13.30977619,45.9667122,,57.57211933,,,76.716013,,52.22405332,,64.81223572,,,,,65.36388409,,,,,,,,29.24187688,60.89171877,,,,70.99447575,,,,,,,,,,,,,,,,,27.74122816,,,,87.32876864,,,,,,,,,58.34482653,,44.2260434,,,,,,,74.2782162,,,39.05109448,,,,,,,,,,,
1992,,,,89.83739853,,,,52.45901872,,,,70.04048933,64.36781641,,,63.5620932,64.42952739,,,88.63261707,33.40832424,87.48435568,,,,,58.33333412,61.59250297,80.1351341,,,,,78.21379979,78.04990524,71.19700829,,44.23841262,,,,,,,,,41.10275436,,,,,61.19016477,,67.84702912,,,84.21053011,58.04677102,,,,,,70.25473074,,32.20338736,63.89498325,,52.26586113,78.29949032,,68.48207078,,86.99300806,,73.21981479,,,,71.78082401,,,51.65165513,,,,,53.10558999,,,,,,68.78986063,59.23077021,39.97760307,,,,77.03927848,,,,,,,,,,53.56623125,,,86.58109637,66.99300913,52.55023432,,,65.00000098,,,,96.03429319,,,62.21928715,,54.02376928,,,,,,53.80737934,,,,48.29843035,,,,,,56.91411967,,65.04854718,,,,,,,,41.18343105,,,,,,,,,,,,,50.66991382,,55.24146135,76.4523944,,,,,,65.5760974,83.48993391,,,73.77049488,66.72723911,,,16.76646707,,58.09018349,57.86924954,,,77.03281195,,52.53682369,,69.91525122,61.08433827,,,69.87092119,,,76.44444218,81.96931071,,,18.125,,,59.19219804,,,49.09090909,72.47956357,,,,,,,,57.52607951,,,91.90981651,,,,,,,,,,,,,53.76254552,,,,,,58.00525267,,41.08040376,,,,,,61.98347238,76.25329408,,,46.90594071,,,,,,,,,,,60.10296345
1994,,,,,,,,54.3574607,,,,71.46739071,68.83852624,,,65.68627494,,,,,35.22083727,82.51231837,,,44.16243387,,69.37500238,,81.98924563,,,69.08344877,,78.65937237,,70.95959966,,45.69190692,,,,,,,,,43.32085072,74.9140787,,,,,73.66946408,68.87607808,,,82.46110573,54.17276478,,,40.61483591,,,69.93910795,58.73606359,31.08108108,65.80058634,,55.7603688,78.18659815,74.21875126,69.08329232,,86.67621398,,75.35321731,,,,73.32402391,,,61.66950646,,,,105.1502123,54.26356589,,,21.90476145,,,70.71117338,60.69587552,,,,,74.91909354,,,,,,,,36.72985716,,57.32946172,,,89.37947351,69.16780171,53.09033409,84.32432639,,64.52442004,,,,,,,62.64744079,,,,,,,78.11270785,,,,,49.54367863,,,,,,56.72083199,,67.84702912,,24.37810946,,,,,,43.11163961,,,53.82436377,,33.47397995,,,,,,,,52.7472527,,,78.42598281,77.61675032,,,,,67.75568143,84.38761533,,,74.62686876,67.91713383,,,17.79661027,51.68539615,60.86387313,57.96568642,,,77.56598811,,,,72.4087569,61.46681991,,,70.99806494,,,,80.40816119,,35.34092129,,,,58.98161607,,,53.04136264,,,,,,,,,52.2480632,74.3849532,79.90654467,91.13233325,,,80.40816119,,,,,,,77.80428947,,,,,,61.1859884,35.34092129,,59.38337821,31.0298085,39.87261049,,,,,,62.24350335,78.39999898,,,46.04938177,98.85245777,,,,,,,22.8070175,66.60958991,,
